Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
HASSELT - FH09;2408767;1;0;0;1;SDU;;Y;NA;2;4;Paul Bellefroidlaan20;;1 Unit in CRAB, Niet in GM.;;;BUILDING template;Paul Bellefroidlaan;20;;;218637;179008
HASSELT - FH09;2409904;1;0;0;1;SDU;;Y;NA;2;4;Boomkensstraat257;;5 Units in CRAB, onduidelijk in GM.;;;BUILDING template;Boomkensstraat;257;;;217415;179259
HASSELT - FH09;2420882;1;0;0;1;SDU;;Y;NA;2;4;Kerkhofstraat8;;1 Unit in CRAB en GM.;;;BUILDING template;Kerkhofstraat;8;;;217843;179777
HASSELT - FH09;2420885;1;0;0;1;SDU;;Y;NA;2;4;Kerkhofstraat10;;1Unit in CRAB, niet in GM.;;;BUILDING template;Kerkhofstraat;10;;;217841;179773
HASSELT - FH09;2423442;1;0;0;1;SDU;;Y;NA;2;4;Kruisherenlaan29;;1 Unit in CRAB, Niet in GM.;;;BUILDING template;Kruisherenlaan;29;;;217344;179364
HASSELT - FH09;2428330;1;0;0;1;SDU;;Y;NA;2;4;Sint-Martinusplein2;;5 Units in CRAB, Onduidelijk in GM.;;;BUILDING template;Sint-Martinusplein;2;;;218507;179103
HASSELT - FH09;2428334;1;0;0;1;SDU;;Y;NA;2;4;Sint-Martinusplein4A;;12 Units in CRAB en GM.;;;BUILDING template;Sint-Martinusplein;4;A;;218532;178986
HASSELT - FH09;2428335;1;0;0;1;SDU;;Y;NA;2;4;Sint-Martinusplein4B;;12 Units in CRAB en GM.;;;BUILDING template;Sint-Martinusplein;4;B;;218522;178977
HASSELT - FH09;2428339;1;0;0;1;SDU;;Y;NA;2;4;Sint-Martinusplein4C;;12 Units in CRAB en GM.;;;BUILDING template;Sint-Martinusplein;4;C;;218511;178970
HASSELT - FH09;2432381;1;0;0;1;SDU;;Y;NA;2;4;Notelarenstraat20;;4 Units in CRAB, 4 bussen in GM.;;;BUILDING template;Notelarenstraat;20;;;217483;179579
HASSELT - FH09;2443311;1;0;0;1;SDU;;Y;NA;2;4;Sint-Truidersteenweg143;;1 Unit in CRAB, Onduidelijk in GM.;;;BUILDING template;Sint-Truidersteenweg;143;;;217677;179575
HASSELT - FH09;2443316;1;0;0;1;SDU;;Y;NA;2;4;Sint-Truidersteenweg150;;1 Unit in CRAB, Onduidelijk in GM.;;;BUILDING template;Sint-Truidersteenweg;150;;;217688;179528
HASSELT - FH09;2443318;1;0;0;1;SDU;;Y;NA;2;4;Sint-Truidersteenweg151;;1 Unit in CRAB en GM.;;;BUILDING template;Sint-Truidersteenweg;151;;;217663;179548
HASSELT - FH09;706719;65;2;0;67;MDU;;Y;NA;4;4;Kramerslaan13;;2 Units in CRAB, onduidelijk in GM.;;;BUILDING template;Kramerslaan;13;;;216939,57;179576,12
HASSELT - FH09;2443472;1;0;0;1;SDU;;Y;NA;2;4;Sint-Truidersteenweg250B;;1 Unit in CRAB, Onduidelijk in GM.;;;BUILDING template;Sint-Truidersteenweg;250;B;;217466;179150
HASSELT - FH09;2443532;1;0;0;1;SDU;;Y;NA;2;4;Sint-Truidersteenweg281;;1 Unit in CRAB, 1 bus te zien in GM.;;;BUILDING template;Sint-Truidersteenweg;281;;;217435;179174
HASSELT - FH09;2444485;1;0;0;1;SDU;;Y;NA;2;4;Pater Valentinuslaan5;;6 Units in CRAB. Onduidelijk in GM.;;;BUILDING template;Pater Valentinuslaan;5;;;218448;178889
HASSELT - FH09;2449763;1;0;0;1;SDU;;Y;NA;2;4;Van Heinsberglaan1;;1 Unit in CRAB en GM.;;;BUILDING template;Van Heinsberglaan;1;;;218595;178828
HASSELT - FH09;3937431;1;0;0;1;SDU;;Y;NA;2;4;Kerkhofstraat75;;2 Units in CRAB, 2 bussen in GM.;;;BUILDING template;Kerkhofstraat;75;;;217590;179332
