Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name
EVERE - FH03;1622240;0;2;0;2;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;117;;
EVERE - FH03;1623535;14;0;0;14;MDU;;Y;NA;4;4;;;;;BUILDING template;Onthaalsquare - Square de l Accueil;5;;
EVERE - FH03;827641;4;0;0;4;MDU;;Y;NA;4;4;;;;;BUILDING template;Avenue Louis Pierard - Louis Pierardlaan;26;;
EVERE - FH03;1622241;4;0;0;4;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;118;;
EVERE - FH03;827642;13;0;0;13;MDU;;Y;NA;4;4;;;;;BUILDING template;Avenue Louis Pierard - Louis Pierardlaan;3;;
EVERE - FH03;1621575;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Avenue Henri Conscience - H. Consciencelaan;36;;
EVERE - FH03;1622242;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;119;;
EVERE - FH03;25026;4;0;0;4;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;74;;
EVERE - FH03;827643;3;0;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Avenue Louis Pierard - Louis Pierardlaan;23;;
EVERE - FH03;1621576;4;0;0;4;MDU;;Y;NA;4;4;;;;;BUILDING template;Avenue Henri Conscience - H. Consciencelaan;37;;
EVERE - FH03;1622243;0;3;0;3;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;120;;
EVERE - FH03;25030;4;0;0;4;MDU;;Y;NA;4;4;;;;;BUILDING template;Onze Lieve Vrouwlaan - Avenue Notre-Dame;153;;
EVERE - FH03;827644;5;0;0;5;MDU;;Y;NA;4;4;;;;;BUILDING template;Avenue Louis Pierard - Louis Pierardlaan;37;;
