Projectnummer;LAM MK;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Kolom1;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
HASSELT - FH09;NB-35003128046;1;0;0;1;SDU;;Kerkhofstraat31;Y;NA;2;4;;1Unit in CRAB, niet in GM.;Y;;BUILDING template;Kerkhofstraat;31;;;217732;179530
HASSELT - FH09;NB-350032613852;1;0;0;1;SDU;;Boomkensstraat326;Y;NA;2;4;;1 Unit in CRAB en GM.;Y;;BUILDING template;Boomkensstraat;326;;;217391;179190
HASSELT - FH09;NB-350032A10817;1;0;0;1;SDU;;Hollandsveldlaan32A;Y;NA;2;4;;1 Unit in CRAB en kadaster, onduidelijk in GM.;Y;;BUILDING template;Hollandsveldlaan;32;A;;218544;178956
HASSELT - FH09;NB-3500343444;1;0;0;1;SDU;;Sint-Martinusplein3;Y;NA;2;4;;1 Unit in CRAB en GM.;Y;;BUILDING template;Sint-Martinusplein;3;;;218493;179050
HASSELT - FH09;NB-3500351081;1;0;0;1;SDU;;Rode-Berglaan3;Y;NA;2;4;;1 Unit in CRAB en GM.;Y;;BUILDING template;Rode-Berglaan;3;;;218268;178829
HASSELT - FH09;NB-35003778299;1;0;0;1;SDU;;Arnold van Loonlaan37;N;HEIGHT;2;4;Bouwgrond;Leegstaand perceel;Y;;BUILDING template;Arnold van Loonlaan;37;;;218345;178775
HASSELT - FH09;NB-35003785284;1;0;0;1;SDU;;Bakkerslaan37;N;HEIGHT;2;4;Bouwgrond;Leegstaand perceel;Y;;BUILDING template;Bakkerslaan;37;;;217288;179493
HASSELT - FH09;NB-35003788306;1;0;0;1;SDU;;Helipoststraat37;Y;NA;2;4;;1 Unit in CRAB en GM.;Y;;BUILDING template;Helipoststraat;37;;;217188;179717
HASSELT - FH09;NB-3500388556;1;0;0;1;SDU;;G. Verdilaan3;Y;NA;2;4;;12 Units in CRAB, aantal onduidelijk in GM.;Y;;BUILDING template;G. Verdilaan;3;;;217789;179513
HASSELT - FH09;NB-35003A81811;1;0;0;1;SDU;;Generaal Lemanstraat3A;Y;NA;2;4;;1 Unit in CRAB, onduidelijk in GM.;Y;;BUILDING template;Generaal Lemanstraat;3;A;;218445;179349
