Projectnummer;errors;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;BG Name IFH;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;Q IFH;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;NR BU GM;NR LU GM;NR SU GM;UNITS TOTAL GM;IFH_BU;IFH_LU;IFH_SU;IFH_TOTAAL;OPMERKINGEN;Wall Mount;Wall Mount IFH;Opdrachttemplate
ROESELARE - FH03;Units su diff;3414586;BL0326;;162851;3414586;;;;Delaerestraat;19;;C;;2018-02-21;Recep TUNC;MDU;0;3;1;4;0;3;1;4;0;3;1;4;;N;Y;BUILDING template
ROESELARE - FH03;Units total diff;3414586;BL0326;;162851;3414586;;;;Delaerestraat;19;;C;;2018-02-21;Recep TUNC;MDU;0;3;1;4;0;3;1;4;0;3;1;4;;N;Y;BUILDING template
ROESELARE - FH03;Units total diff;3417790;BL0326;;165624;3417790;;;;Ooststraat;114;;D;;2018-02-22;;MDU;1;5;1;7;1;5;1;7;1;5;1;7;;Y;Y;BUILDING template
ROESELARE - FH03;Units su diff;3417790;BL0326;;165624;3417790;;;;Ooststraat;114;;D;;2018-02-22;;MDU;1;5;1;7;1;5;1;7;1;5;1;7;;Y;Y;BUILDING template
ROESELARE - FH03;Units lu diff;3417797;BL0326;;25244854;3417797;;;;Ooststraat;134;;;;2019-11-13;Jonas Rettelet;SDU;1;0;0;1;1;0;0;1;0;1;0;1;;Y;Y;BUILDING template
ROESELARE - FH03;Units bu diff;3417797;BL0326;;25244854;3417797;;;;Ooststraat;134;;;;2019-11-13;Jonas Rettelet;SDU;1;0;0;1;1;0;0;1;0;1;0;1;;Y;Y;BUILDING template
ROESELARE - FH03;Units lu diff;3417955;BL0327;;165781;3417955;;;;Polenplein;5;;D;;2020-02-07;Ryan De Vries;MDU;1;2;0;3;1;2;0;3;2;1;0;3;;Y;Y;BUILDING template
ROESELARE - FH03;Units bu diff;3417955;BL0327;;165781;3417955;;;;Polenplein;5;;D;;2020-02-07;Ryan De Vries;MDU;1;2;0;3;1;2;0;3;2;1;0;3;;Y;Y;BUILDING template
ROESELARE - FH03;Units su diff;3417963;BL0324;;4707846;3417963;;;;Polenplein;20;;A;;2020-03-11;olivier collignon;MDU;2;18;2;22;2;18;2;22;2;18;1;21;;N;N;BUILDING template
ROESELARE - FH03;Units total diff;3417963;BL0324;;4707846;3417963;;;;Polenplein;20;;A;;2020-03-11;olivier collignon;MDU;2;18;2;22;2;18;2;22;2;18;1;21;;N;N;BUILDING template
ROESELARE - FH03;Quadrant diff;3418060;BL0309;;165873;3418060;;;;Rijselstraat;9;A;C;D;2018-02-22;;MDU;1;5;1;7;1;5;1;7;0;5;1;6;;N;Y;BUILDING template
ROESELARE - FH03;Units bu diff;3418060;BL0309;;165873;3418060;;;;Rijselstraat;9;A;C;;2018-02-22;;MDU;1;5;1;7;1;5;1;7;0;5;1;6;;N;Y;BUILDING template
