Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name
KNOKKE - FH01;2763908;0;1;0;1;SDU;;Y;NA;1;3;;;;;BUILDING template;Sebastiaan Nachtegaelestraat;29;;
KNOKKE - FH01;2759885;0;1;0;1;SDU;;Y;NA;3;9;;;;;BUILDING template;Fincentlaan;12;;
KNOKKE - FH01;333503;1;0;0;1;SDU;;Y;NA;3;4;;;;;BUILDING template;Natienlaan;33;;
KNOKKE - FH01;2763910;3;0;0;3;MDU;D;Y;NA;3;4;;;;;BUILDING template;Sebastiaan Nachtegaelestraat;31;;
KNOKKE - FH01;2759886;4;0;0;4;MDU;D;Y;NA;4;12;Beschermd Erfgoed;;;BE;BUILDING template;Fincentlaan;13;;
KNOKKE - FH01;2763911;2;0;0;2;MDU;B;N;IRREG;3;4;;;;Eigenaar wenst geen opbouwschacht. 2 UTP cat5e aanwezig.;BUILDING template;Sebastiaan Nachtegaelestraat;33;;
KNOKKE - FH01;4345723;1;0;0;1;SDU;;Y;NA;3;9;;;;;BUILDING template;Fincentlaan;14;;
KNOKKE - FH01;1362934;8;1;0;9;MDU;D;N;IRREG;3;9;;;;Afbraak -  Démolition;BUILDING template;Sebastiaan Nachtegaelestraat;35;;Burg. Camille Deckersstraat 3_Sebastiaan Nachtegaelestraat 35
KNOKKE - FH01;2759887;1;0;0;1;SDU;;Y;NA;4;12;Beschermd Erfgoed;;;BE;BUILDING template;Fincentlaan;15;;
KNOKKE - FH01;2763934;3;0;0;3;MDU;D;Y;NA;3;9;;;;;BUILDING template;Natienlaan;39;;
KNOKKE - FH01;333093;1;0;0;1;SDU;;Y;NA;1;9;;;;SDU, LU;BUILDING template;Fincentlaan;16;;
KNOKKE - FH01;2763938;1;0;0;1;SDU;;Y;NA;2;6;;;;;BUILDING template;Natienlaan;41;;
KNOKKE - FH01;13040;1;0;0;1;SDU;;Y;NA;3;4;;;;;BUILDING template;Smedenstraat;2;;
