Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
KNOKKE-HEIST - FH03;2759269;5;1;1;7;MDU;;N;IRREG;6;3;;;Y;_;BUILDING template;Dumortierlaan;51;;;74860,288;227335,995
KNOKKE-HEIST - FH03;2759270;4;1;1;6;MDU;;N;IRREG;5;3;;;Y;_;BUILDING template;Dumortierlaan;53;;;74863,702;227339,474
KNOKKE-HEIST - FH03;2759273;5;1;1;7;MDU;;N;IRREG;6;6;;;Y;_;BUILDING template;Dumortierlaan;55;;;74866,983;227343,236
KNOKKE-HEIST - FH03;2758497;15;0;1;16;MDU;;N;IRREG;6;3;;14LU in CRAB, onduidelijk in GM;Y;_;BUILDING template;Van Bunnenlaan;14;;;74881,547;227488,172
KNOKKE-HEIST - FH03;2758502;5;0;1;6;MDU;;N;IRREG;6;3;Beschermd Erfgoed;;Y;_;BUILDING template;Van Bunnenlaan;16;;;74887,547;227481,172
KNOKKE-HEIST - FH03;2758505;5;1;1;7;MDU;;N;IRREG;6;3;;5LU in CRAB, kan kloppen volgens GM;Y;_;BUILDING template;Van Bunnenlaan;18;;;74892,28;227473,45
KNOKKE-HEIST - FH03;6524257;0;1;0;1;MDU;;N;IRREG;3;3;;;Y;_;BUILDING template;Dumortierlaan;67;;Dumortierlaan 67-69;74897,167;227370,446
KNOKKE-HEIST - FH03;337047;19;0;1;20;MDU;;N;IRREG;6;3;;;Y;_;BUILDING template;Van Bunnenlaan;20;;;74900,13;227461,79
KNOKKE-HEIST - FH03;2759295;5;0;1;6;MDU;;N;IRREG;6;6;;6LU in CRAB, onduidelijk in GM;Y;_;BUILDING template;Dumortierlaan;73;;Dumortierlaan 73-73A;74908,948;227388,539
KNOKKE-HEIST - FH03;2759291;4;1;1;6;MDU;;N;IRREG;5;3;;;Y;_;BUILDING template;Dumortierlaan;69;;;74909,37;227380,93
KNOKKE-HEIST - FH03;NB-830073A7048;0;1;0;1;MDU;;N;IRREG;6;6;;;;_;BUILDING template;Dumortierlaan;73;A;Dumortierlaan 73-73A;74914;227383
KNOKKE-HEIST - FH03;2759297;0;1;0;1;MDU;;N;IRREG;6;6;;2LU in CRAB, niet duidelijk in GM;Y;_;BUILDING template;Dumortierlaan;75;;Dumortierlaan 75-77;74917,01;227387,22
KNOKKE-HEIST - FH03;2759302;5;0;1;6;MDU;;N;IRREG;6;6;;;Y;_;BUILDING template;Dumortierlaan;77;;Dumortierlaan 75-77;74920;227390
KNOKKE-HEIST - FH03;2759309;6;0;1;7;MDU;;N;IRREG;6;3;;6LU in CRAB, onduidelijk in GM;Y;_;BUILDING template;Dumortierlaan;81;;Dumortierlaan 81-83;74928,548;227397,172
KNOKKE-HEIST - FH03;2758518;4;0;0;4;MDU;;N;IRREG;5;3;;4LU in CRAB, onduidelijk in GM, staat in kadaster;Y;_;BUILDING template;Van Bunnenlaan;30;;;74931,974;227427,327
KNOKKE-HEIST - FH03;2759311;0;1;0;1;MDU;;N;IRREG;6;3;;;Y;_;BUILDING template;Dumortierlaan;83;;Dumortierlaan 81-83;74932;227401
KNOKKE-HEIST - FH03;321015;4;0;1;5;MDU;;Y;ORN;6;4;;4LU in CRAB, in GM 5LU;Y;_;BUILDING template;Leopoldlaan;72;;;74674,23;227136,77
KNOKKE-HEIST - FH03;2762812;4;0;1;5;MDU;;Y;NA;6;4;;5LU in CRAB, in GM ook.;Y;_;BUILDING template;Leopoldlaan;74;;;74674,699;227141,362
KNOKKE-HEIST - FH03;338549;5;0;1;6;MDU;;Y;NA;6;4;;;Y;_;BUILDING template;Jozef Mommenstraat;7;;;74777,484;226982,041
KNOKKE-HEIST - FH03;338546;4;1;1;6;MDU;;Y;NA;5;4;;5LU in CRAB, in GM ook;Y;_;BUILDING template;Jozef Mommenstraat;6;;;74786,551;226956,172
KNOKKE-HEIST - FH03;2765602;9;0;1;10;MDU;;Y;NA;5;4;;;Y;_;BUILDING template;Piers de Raveschootlaan;123;;;74796,552;226938,172
KNOKKE-HEIST - FH03;338464;9;0;1;10;MDU;;Y;NA;5;4;;;Y;_;BUILDING template;Piers de Raveschootlaan;127;;;74801,52;226986,35
