Projectnummer;Straat;Huisnummer;Huisnummer Toevoeging;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Opdrachttemplate
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;749;;75443;227784;SDU;;1;0;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Golvenstraat;19;;75613,18;227778,98;MDU;;5;0;0;5;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;177;;75583;227763;SDU;;0;1;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;697;B;75149;227719;SDU;;1;0;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Lichttorenplein;6;;74880,24641;227568,2815;SDU;;0;1;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;179;;75587,54393;227764,1768;MDU;;3;1;0;4;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;697;A;75149;227719;SDU;;1;0;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Albertplein;15;;75510,81;227778,6;MDU;;9;0;0;9;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;193;;75633,54372;227782,1771;MDU;;6;1;0;7;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;341;;75958;227903;SDU;;1;0;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Albertplein;19;;75514,54413;227750,1762;SDU;;0;1;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;195;;75634;227783;MDU;;6;0;0;6;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Duindistelstraat;2;A;75257;227738;SDU;;0;1;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Albertplein;18;;75513,54407;227758,1762;MDU;;8;0;0;8;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;197;;75637,2;227789,69;MDU;;6;1;0;7;Y;NA;4;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;309;;75894;227881;SDU;;1;0;0;1;Y;NA;2;BUILDING template
KNOKKE-HEIST - FH04;Albertplein;16;;75512,544;227767,1762;MDU;;14;1;0;15;Y;NA;4;BUILDING template
