Projectnummer;Straat;Huisnummer;Huisnummer Toevoeging;Postcode;Plaats;xPos;yPos;Opdrachtnummer;Opdrachttemplate
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;720;;8300;Knokke-Heist;75315,0;227777,0;NB-83007208ca563;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;722;;8300;Knokke-Heist;75322,0;227777,0;NB-8300722a62e04;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;726;;8300;Knokke-Heist;75341,0;227779,0;NB-8300726cc2682;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;323;;8300;Knokke-Heist;75921,0;227890,0;NB-8300323748476;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;727;;8300;Knokke-Heist;75341,0;227779,0;NB-830072724b517;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;331;;8300;Knokke-Heist;75934,0;227896,0;NB-830033194c408;BUILDING template
KNOKKE-HEIST - FH04;Antoine Breartstraat;3;;8300;Knokke-Heist;75316,3;227748,01;NB-830038bf560;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;335;;8300;Knokke-Heist;75946,0;227900,0;NB-8300335ba0134;BUILDING template
KNOKKE-HEIST - FH04;Antoine Breartstraat;4;;8300;Knokke-Heist;75344,9543;227729,5606;NB-83004d6e305;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;25;;8300;Knokke-Heist;75072,78;227617,3;NB-830025b35132;BUILDING template
KNOKKE-HEIST - FH04;Kustlaan;341;;8300;Knokke-Heist;75958,36;227902,95;NB-8300341d8a660;BUILDING template
KNOKKE-HEIST - FH04;Lichttorenplein;2;;8300;Knokke-Heist;74879,54;227568,81;NB-83002f75086;BUILDING template
KNOKKE-HEIST - FH04;Zeedijk-Knokke;665;;8300;Knokke-Heist;74973,0;227670,0;NB-8300665c96830;BUILDING template
KNOKKE-HEIST - FH04;Lichttorenplein;3;;8300;Knokke-Heist;74971,0;227602,0;NB-8300315b913;BUILDING template
