Projectnummer;LAM MK;Building FID;SSV Date;BUILDING KEY;Blok;LU KEY;VCA;M1;M2A;M2B;M3A;M3B;M4A;M4B;M5A;M5B;M5C;M6A;M6B;M6C;B1 construction start;B2 construction end;Opdrachttemplate
KNOKKE - FH01;2759945;;;2759945;BL0109;8349742;;2019-10-10;;;;;;;;;;;;;2019-08-30;2020-01-19;(L/B/S)U template
KNOKKE - FH01;2763023;;;2763023;BL0114;11078991;NOK;2019-11-11;;;;;;;;;;;;;2019-10-24;2024-12-31;(L/B/S)U template
KNOKKE - FH01;2763127;;;2763127;BL0115;8342026;OK;2019-09-06;;;;;;;;;;;;;2019-11-04;2020-02-19;(L/B/S)U template
KNOKKE - FH01;2765066;;;2765066;BL0120;8355387;PENDING;2019-07-19;;;;;;;;;;;;;2019-10-24;2020-07-15;(L/B/S)U template
KNOKKE - FH01;2766633;;;2766633;BL0103;8356357;PENDING;2019-10-29;;;;;;;;;;;;;2019-09-05;2020-03-23;(L/B/S)U template
KNOKKE - FH01;4270565;;;4270565;BL0124;10557123;PENDING;2019-08-12;;;;;;;;;;;;;2019-11-12;2020-07-15;(L/B/S)U template
KNOKKE - FH01;5579535;;;5579535;BL0125;8355422;PENDING;2019-09-10;;;;;;;;;;;;;2019-10-21;2020-06-14;(L/B/S)U template
KNOKKE - FH01;2763078;;;2763078;;11282483;OK;2019-10-18;;;;;;;;;;;;;2019-11-22;2020-07-15;(L/B/S)U template
KNOKKE - FH01;336249;;;336249;;11294288;NOK;2019-10-24;;;;;;;;;;;;;2019-10-24;2024-12-31;(L/B/S)U template
KNOKKE - FH01;333281;;;333281;BL0112;8334324;OK;2019-08-20;;;;;;;;;;;;;2019-10-14;2020-03-18;(L/B/S)U template
KNOKKE - FH01;338419;;;338419;BL0114;8363889;PENDING;2019-10-12;;;;;;;;;;;;;2019-10-24;2020-02-23;(L/B/S)U template
KNOKKE - FH01;1500907;;;1500907;BL0125;8362491;;2019-09-24;;;;;;;;;;;;;2019-10-21;2020-06-14;(L/B/S)U template
KNOKKE - FH01;2760038;;;2760038;BL0124;8333389;;2019-10-10;;;;;;;;;;;;;2019-11-12;2020-07-15;(L/B/S)U template
KNOKKE - FH01;2763023;;;2763023;BL0114;11078992;NOK;2019-11-11;;;;;;;;;;;;;2019-10-24;2024-12-31;(L/B/S)U template
KNOKKE - FH01;2763127;;;2763127;BL0115;8350799;OK;2019-09-06;;;;;;;;;;;;;2019-11-04;2020-02-19;(L/B/S)U template
KNOKKE - FH01;2765066;;;2765066;BL0120;8355388;PENDING;2019-10-23;;;;;;;;;;;;;2019-10-24;2020-07-15;(L/B/S)U template
KNOKKE - FH01;2765501;;;2765501;BL0111;8366210;PENDING;2019-07-19;;;;;;;;;;;;;2019-09-09;2020-12-21;(L/B/S)U template
KNOKKE - FH01;2766634;;;2766634;BL0105;8341954;;2019-10-29;;;;;;;;;;;;;2019-09-18;2020-12-05;(L/B/S)U template
KNOKKE - FH01;4270565;;;4270565;BL0124;10557427;PENDING;2019-08-12;;;;;;;;;;;;;2019-11-12;2020-07-15;(L/B/S)U template
KNOKKE - FH01;2763085;;;2763085;;11287200;PENDING;2019-10-12;;;;;;;;;;;;;2019-11-12;2020-07-15;(L/B/S)U template
KNOKKE - FH01;336249;;;336249;;11294289;NOK;2019-10-24;;;;;;;;;;;;;2019-10-24;2024-12-31;(L/B/S)U template
KNOKKE - FH01;326887;;;326887;BL0109;10550807;;2019-09-24;;;;;;;;;;;;;2019-08-30;2020-01-19;(L/B/S)U template
KNOKKE - FH01;333281;;;333281;BL0112;8334325;OK;2019-08-20;;;;;;;;;;;;;2019-10-14;2020-03-18;(L/B/S)U template
KNOKKE - FH01;338420;;;338420;BL0115;8362209;OK;2019-09-09;;;;;;;;;;;;;2019-11-04;2020-02-19;(L/B/S)U template
KNOKKE - FH01;1500907;;;1500907;BL0125;8362492;;2019-10-10;;;;;;;;;;;;;2019-10-21;2020-06-14;(L/B/S)U template
KNOKKE - FH01;2760038;;;2760038;BL0124;8337587;;2019-10-23;;;;;;;;;;;;;2019-11-12;2020-07-15;(L/B/S)U template
KNOKKE - FH01;2763029;;;2763029;BL0114;11078912;PENDING;2019-10-28;;;;;;;;;;;;;2019-10-24;2020-02-23;(L/B/S)U template
KNOKKE - FH01;2763127;;;2763127;BL0115;8350800;OK;2019-09-06;;;;;;;;;;;;;2019-11-04;2020-02-19;(L/B/S)U template
KNOKKE - FH01;2765066;;;2765066;BL0120;8359862;PENDING;2019-07-19;;;;;;;;;;;;;2019-10-24;2020-07-15;(L/B/S)U template
KNOKKE - FH01;2765501;;;2765501;BL0111;11079100;PENDING;2019-10-29;;;;;;;;;;;;;2019-09-09;2020-12-21;(L/B/S)U template
KNOKKE - FH01;2766635;;;2766635;BL0103;8351733;;2019-08-12;;;;;;;;;;;;;2019-09-05;2020-03-23;(L/B/S)U template
KNOKKE - FH01;4270565;;;4270565;BL0124;10557453;PENDING;2019-09-10;;;;;;;;;;;;;2019-11-12;2020-07-15;(L/B/S)U template
KNOKKE - FH01;2763102;;;2763102;;11287217;PENDING;2019-09-24;;;;;;;;;;;;;2019-11-12;2020-07-15;(L/B/S)U template
KNOKKE - FH01;336249;;;336249;;11294290;NOK;2019-10-24;;;;;;;;;;;;;2019-10-24;2024-12-31;(L/B/S)U template
KNOKKE - FH01;326887;;;326887;BL0109;10550863;;2019-10-10;;;;;;;;;;;;;2019-08-30;2020-01-19;(L/B/S)U template
KNOKKE - FH01;333281;;;333281;BL0112;8338570;OK;2019-08-20;;;;;;;;;;;;;2019-10-14;2020-03-18;(L/B/S)U template
KNOKKE - FH01;338420;;;338420;BL0115;8362210;OK;2019-09-09;;;;;;;;;;;;;2019-11-04;2020-02-19;(L/B/S)U template
KNOKKE - FH01;2271855;;;2271855;BL0120;8336007;;2019-10-23;;;;;;;;;;;;;2019-10-24;2020-07-15;(L/B/S)U template
KNOKKE - FH01;2760038;;;2760038;BL0124;8341762;;2019-10-28;;;;;;;;;;;;;2019-11-12;2020-07-15;(L/B/S)U template
KNOKKE - FH01;2763029;;;2763029;BL0114;11078913;PENDING;2019-10-29;;;;;;;;;;;;;2019-10-24;2020-02-23;(L/B/S)U template
KNOKKE - FH01;2763127;;;2763127;BL0115;8355607;OK;2019-09-06;;;;;;;;;;;;;2019-11-04;2020-02-19;(L/B/S)U template
KNOKKE - FH01;2765066;;;2765066;BL0120;8364222;PENDING;2019-08-12;;;;;;;;;;;;;2019-10-24;2020-07-15;(L/B/S)U template
KNOKKE - FH01;2765501;;;2765501;BL0111;11079101;PENDING;2019-09-10;;;;;;;;;;;;;2019-09-09;2020-12-21;(L/B/S)U template
KNOKKE - FH01;2766636;;;2766636;BL0105;8364362;;2019-12-02;;;;;;;;;;;;;2019-09-18;2020-12-05;(L/B/S)U template
KNOKKE - FH01;4270565;;;4270565;BL0124;10557454;PENDING;2019-09-24;;;;;;;;;;;;;2019-11-12;2020-07-15;(L/B/S)U template
KNOKKE - FH01;2763120;;;2763120;;11289047;NOK;2019-12-10;;;;;;;;;;;;;2019-10-21;2024-12-31;(L/B/S)U template
KNOKKE - FH01;5579469;;;5579469;;11296929;;;;;;;;;;;;;;;2019-10-09;2020-12-22;(L/B/S)U template
KNOKKE - FH01;326887;;;326887;BL0109;10551879;;2019-10-23;;;;;;;;;;;;;2019-08-30;2020-01-19;(L/B/S)U template
KNOKKE - FH01;333281;;;333281;BL0112;8347164;OK;2019-08-20;;;;;;;;;;;;;2019-10-14;2020-03-18;(L/B/S)U template
KNOKKE - FH01;338420;;;338420;BL0115;8362211;OK;2019-09-09;;;;;;;;;;;;;2019-11-04;2020-02-19;(L/B/S)U template
KNOKKE - FH01;2271855;;;2271855;BL0120;8348913;;2019-10-28;;;;;;;;;;;;;2019-10-24;2020-07-15;(L/B/S)U template
KNOKKE - FH01;2760039;;;2760039;BL0124;8340088;;2019-11-08;;;;;;;;;;;;;2019-11-12;2020-07-15;(L/B/S)U template
KNOKKE - FH01;2763029;;;2763029;BL0114;11078914;PENDING;2019-08-08;;;;;;;;;;;;;2019-10-24;2020-02-23;(L/B/S)U template
KNOKKE - FH01;2763127;;;2763127;BL0115;11079018;OK;2019-09-06;;;;;;;;;;;;;2019-11-04;2020-02-19;(L/B/S)U template
KNOKKE - FH01;2765066;;;2765066;BL0120;11079072;PENDING;2019-10-29;;;;;;;;;;;;;2019-10-24;2020-07-15;(L/B/S)U template
KNOKKE - FH01;2765501;;;2765501;BL0111;11079102;PENDING;2019-08-12;;;;;;;;;;;;;2019-09-09;2020-12-21;(L/B/S)U template
KNOKKE - FH01;2766637;;;2766637;BL0103;8350728;;2019-09-10;;;;;;;;;;;;;2019-09-05;2020-03-23;(L/B/S)U template
KNOKKE - FH01;4270565;;;4270565;BL0124;10557535;PENDING;2019-12-02;;;;;;;;;;;;;2019-11-12;2020-07-15;(L/B/S)U template
KNOKKE - FH01;5579555;;;5579555;BL0105;8349687;;2019-10-11;;;;;;;;;;;;;2019-09-18;2020-12-05;(L/B/S)U template
KNOKKE - FH01;2763120;;;2763120;;11289048;NOK;2019-12-10;;;;;;;;;;;;;2019-10-21;2024-12-31;(L/B/S)U template
KNOKKE - FH01;6628880;;;6628880;;11296647;;;;;;;;;;;;;;;2019-09-04;2020-01-19;(L/B/S)U template
KNOKKE - FH01;239620;;;239620;BL0125;8334520;PENDING;2019-09-02;;;;;;;;;;;;;2019-10-21;2020-06-14;(L/B/S)U template
KNOKKE - FH01;326887;;;326887;BL0109;10553493;;2019-10-28;;;;;;;;;;;;;2019-08-30;2020-01-19;(L/B/S)U template
KNOKKE - FH01;333281;;;333281;BL0112;8356316;OK;2019-08-20;;;;;;;;;;;;;2019-10-14;2020-03-18;(L/B/S)U template
KNOKKE - FH01;338420;;;338420;BL0115;8362212;OK;2019-09-09;;;;;;;;;;;;;2019-11-04;2020-02-19;(L/B/S)U template
KNOKKE - FH01;2271855;;;2271855;BL0120;8348914;;2019-11-08;;;;;;;;;;;;;2019-10-24;2020-07-15;(L/B/S)U template
KNOKKE - FH01;2760039;;;2760039;BL0124;8340089;;2019-08-08;;;;;;;;;;;;;2019-11-12;2020-07-15;(L/B/S)U template
KNOKKE - FH01;2763029;;;2763029;BL0114;11078915;PENDING;2019-09-03;;;;;;;;;;;;;2019-10-24;2020-02-23;(L/B/S)U template
KNOKKE - FH01;2763128;;;2763128;BL0125;8341201;OK;2019-09-14;;;;;;;;;;;;;2019-10-21;2020-06-14;(L/B/S)U template
KNOKKE - FH01;2765067;;;2765067;BL0120;8333447;PENDING;2019-08-12;;;;;;;;;;;;;2019-10-24;2020-07-15;(L/B/S)U template
KNOKKE - FH01;2765501;;;2765501;BL0111;11139506;PENDING;2019-12-02;;;;;;;;;;;;;2019-09-09;2020-12-21;(L/B/S)U template
