'Building_Units'[mainkey];Lu_Key;Block_Name;Street;House_Nr;House_Nr_Suffix;App_Nr;Postal_Code;City;LU_nature;MUD/SDU;Quadrant;VCA;M5A;M6A;B1;B2;Handover_Date;Stop_Selling_Dt;Stop_Service_Dt;Best_Unit_Status;RFS;RFT;Building_Group_FID;Building_Group_name;B2_new
1905662;11077096;W03-C-Antwerpen-West-FH01_BL0005;Godefriduskaai;58;;101;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-03-09;2020-10-31;2020-07-31;2024-06-30;2025-06-30;FT;Yes;Yes;;;2020-07-05
1905662;11077097;W03-C-Antwerpen-West-FH01_BL0005;Godefriduskaai;58;;201;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-03-09;2020-10-31;2020-07-31;2024-06-30;2025-06-30;FT;Yes;Yes;;;2020-07-05
1905662;11306848;W03-C-Antwerpen-West-FH01_BL0005;Godefriduskaai;58;;301;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-03-09;2020-10-31;2020-07-31;2024-06-30;2025-06-30;FT;Yes;Yes;;;2020-07-05
1905662;11306849;W03-C-Antwerpen-West-FH01_BL0005;Godefriduskaai;58;;401;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-03-09;2020-10-31;2020-07-31;2024-06-30;2025-06-30;FT;Yes;Yes;;;2020-07-05
1970954;10357838;W03-C-Antwerpen-West-FH01_BL0012;Kribbestraat;10;;101;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-14;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
1970954;10357839;W03-C-Antwerpen-West-FH01_BL0012;Kribbestraat;10;;201;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-14;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
1970954;1620715;W03-C-Antwerpen-West-FH01_BL0012;Kribbestraat;10;;1;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-14;2020-12-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
1970984;11077053;W03-C-Antwerpen-West-FH01_BL0012;Kribbestraat;18;;;2000;Antwerpen;BU;SDU;;;;;2020-04-14;2020-10-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
1970988;11077056;W03-C-Antwerpen-West-FH01_BL0012;Kribbestraat;20;;;2000;Antwerpen;BU;SDU;;;;;2020-04-14;2020-10-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
1992477;11077295;W03-C-Antwerpen-West-FH01_BL0016;Londenstraat;5;;101;2000;Antwerpen;LU;MDU;D - Facade Box;;;;2020-04-22;2020-10-31;2020-07-31;2024-06-30;2025-06-30;HP;Yes;Yes;;;2020-07-05
