Projectnummer;Opdrachttemplate;LU Key;LAM MK;LAM Street Code;Street;Postcode;Municipality
EVERE - FH03;BUILDING template;1621311;1621311;9182;Weerstandstraat - Rue de la Resistance;1140;Evere
EVERE - FH03;BUILDING template;1621312;1621312;9182;Weerstandstraat - Rue de la Resistance;1140;Evere
EVERE - FH03;BUILDING template;1621314;1621314;9182;Weerstandstraat - Rue de la Resistance;1140;Evere
EVERE - FH03;BUILDING template;1621315;1621315;9182;Weerstandstraat - Rue de la Resistance;1140;Evere
EVERE - FH03;BUILDING template;1621316;1621316;9182;Weerstandstraat - Rue de la Resistance;1140;Evere
EVERE - FH03;BUILDING template;1621317;1621317;9182;Weerstandstraat - Rue de la Resistance;1140;Evere
EVERE - FH03;BUILDING template;1621318;1621318;9182;Weerstandstraat - Rue de la Resistance;1140;Evere
EVERE - FH03;BUILDING template;1621319;1621319;9182;Weerstandstraat - Rue de la Resistance;1140;Evere
EVERE - FH03;BUILDING template;1621320;1621320;9182;Weerstandstraat - Rue de la Resistance;1140;Evere
EVERE - FH03;BUILDING template;1621321;1621321;9182;Weerstandstraat - Rue de la Resistance;1140;Evere
EVERE - FH03;BUILDING template;1621322;1621322;9182;Weerstandstraat - Rue de la Resistance;1140;Evere
EVERE - FH03;BUILDING template;1621323;1621323;9182;Weerstandstraat - Rue de la Resistance;1140;Evere
EVERE - FH03;BUILDING template;1621324;1621324;9182;Weerstandstraat - Rue de la Resistance;1140;Evere
EVERE - FH03;BUILDING template;1621325;1621325;9182;Weerstandstraat - Rue de la Resistance;1140;Evere
EVERE - FH03;BUILDING template;1621326;1621326;9182;Weerstandstraat - Rue de la Resistance;1140;Evere
EVERE - FH03;BUILDING template;1621327;1621327;9182;Weerstandstraat - Rue de la Resistance;1140;Evere
EVERE - FH03;BUILDING template;1621328;1621328;9182;Weerstandstraat - Rue de la Resistance;1140;Evere
EVERE - FH03;BUILDING template;1621329;1621329;9182;Weerstandstraat - Rue de la Resistance;1140;Evere
EVERE - FH03;BUILDING template;1621330;1621330;9182;Weerstandstraat - Rue de la Resistance;1140;Evere
EVERE - FH03;BUILDING template;1621331;1621331;9182;Weerstandstraat - Rue de la Resistance;1140;Evere
EVERE - FH03;BUILDING template;1621332;1621332;9182;Weerstandstraat - Rue de la Resistance;1140;Evere
EVERE - FH03;BUILDING template;1621333;1621333;9182;Weerstandstraat - Rue de la Resistance;1140;Evere
EVERE - FH03;BUILDING template;1621334;1621334;9182;Weerstandstraat - Rue de la Resistance;1140;Evere
EVERE - FH03;BUILDING template;1621335;1621335;9182;Weerstandstraat - Rue de la Resistance;1140;Evere
