Projectnummer;Opdrachttemplate;LU Key;LAM MK;LAM Street Code;Street;Municipality
EVERE - FH01;BUILDING template;1620947;1620947;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;1620863;1620863;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;1620948;1620948;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;1120054;1120054;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;1620949;1620949;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;1620865;1620865;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;726568;726568;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;1620866;1620866;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;1620868;1620868;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;1620869;1620869;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;1620870;1620870;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;1620871;1620871;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;726857;726857;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;1620872;1620872;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;725360;725360;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;1120056;1120056;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;726778;726778;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;1120057;1120057;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;1354579;1354579;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;1620873;1620873;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;4110412;4110412;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;4110182;4110182;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;1620853;1620853;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;1298412;1298412;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;726780;726780;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;1620877;1620877;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;1620854;1620854;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;4058728;4058728;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;726059;726059;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;1620855;1620855;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;1620881;1620881;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;5483807;5483807;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;1620887;1620887;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;1620889;1620889;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;1620899;1620899;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
EVERE - FH01;BUILDING template;1620890;1620890;6770;Chaussée de Louvain - Leuvensesteenweg;Evere - Evere
