ZONE_NAME;FIS_MDU;FIS_SDU;MDU_TOTAL;SDU_TOTAL;BUILDINGS_TOTAL;FIS_PROCENT;UNITS_TOTAL;FTS_TODO;FTS_TOTAL;FTS_PROCENT;MDU_SSV;SSV_PROCENT;STS;STS_PROCENT;STS_TODO;SSV_TODO;TSA_SIGNED;TSA_REJECTED;TSA_PROCENT
W03-C-Uccle-FH08;0;0;694;1926;2620;0.0;5356;0;0;0.0;0;0.0;2620;100.0;0;0;0;0;0.0
W03-D-Brugge-FH01;0;0;668;2256;2924;0.0;5588;0;0;0.0;287;42.96;2892;98.91;32;381;0;0;0.0
W03-D-Brugge-FH02;221;0;256;2220;2476;86.33;3464;21;27;77.78;245;95.7;2460;99.35;16;11;10;0;37.04
W03-D-Hasselt-FH04;173;0;175;821;996;98.86;1688;30;60;50.0;175;100.0;982;98.59;14;0;25;0;41.67
W03-D-Hasselt-FH05;15;1;38;295;333;39.47;506;1;15;6.67;19;50.0;309;92.79;24;19;2;0;13.33
W03-D-Hasselt-FH06;43;0;76;548;624;56.58;1276;11;46;23.91;76;100.0;622;99.68;2;0;4;0;8.7
W03-D-MONS-FH06;0;0;173;854;1027;0.0;1667;0;0;0.0;0;0.0;1027;100.0;0;0;0;0;0.0
W03-D-MONS-FH07;0;0;170;1092;1262;0.0;1893;0;0;0.0;0;0.0;1262;100.0;0;0;0;0;0.0
W03-D-Mechelen-FH01;435;2;459;583;1042;94.77;2483;17;95;17.89;459;100.0;1029;98.75;13;0;22;0;23.16
W03-D-Mechelen-FH02;302;27;566;968;1534;53.36;3697;46;219;21.0;562;99.29;1499;97.72;35;4;1;0;0.46
W03-D-Mechelen-FH03;37;10;39;104;143;94.87;284;40;46;86.96;39;100.0;139;97.2;4;0;11;0;23.91
W03-D-Mons-FH01;0;0;342;432;774;0.0;1928;0;0;0.0;0;0.0;774;100.0;0;0;0;0;0.0
W03-D-Mons-FH02;0;0;290;372;662;0.0;1995;0;17;0.0;88;30.34;662;100.0;0;202;0;0;0.0
W03-D-Mons-FH03;0;0;268;282;550;0.0;1780;0;0;0.0;0;0.0;550;100.0;0;0;0;0;0.0
W03-D-Mons-FH04;0;0;407;639;1046;0.0;2720;0;0;0.0;0;0.0;1046;100.0;0;0;0;0;0.0
W03-D-Mons-FH05;0;0;489;479;968;0.0;3099;0;0;0.0;0;0.0;968;100.0;0;0;0;0;0.0
W03-D-Sint-Niklaas-FH01;654;0;818;674;1492;79.95;2962;324;437;74.14;818;100.0;1469;98.46;23;0;59;1;13.73
W03-D-Sint-Niklaas-FH02;339;0;537;1026;1563;63.13;3055;55;147;37.41;537;100.0;1542;98.66;21;0;53;12;44.22
W04-C-Evere-FH03;0;0;832;823;1655;0.0;5692;0;0;0.0;0;0.0;1650;99.7;5;0;0;0;0.0
W04-C-Evere-FH04;0;0;1031;1207;2238;0.0;6093;0;0;0.0;0;0.0;2238;100.0;0;0;0;0;0.0
W04-C-Evere-FH05;0;0;51;254;305;0.0;785;0;0;0.0;0;0.0;304;99.67;1;0;0;0;0.0
W04-C-Liege-FH18;0;0;344;1437;1781;0.0;2846;0;0;0.0;0;0.0;1781;100.0;0;0;0;0;0.0
W04-C-Liege-FH19;0;0;103;1399;1502;0.0;2416;0;0;0.0;0;0.0;31;2.06;1471;0;0;0;0.0
W04-C-Liege-FH20;0;0;430;1561;1991;0.0;3108;0;0;0.0;0;0.0;1991;100.0;0;0;0;0;0.0
W04-C-Liege-FH21;0;0;265;1289;1554;0.0;2607;0;0;0.0;0;0.0;5;0.32;1549;0;0;0;0.0
W04-C-Liege-FH27;0;0;257;173;430;0.0;0;0;0;0.0;0;0.0;339;78.84;91;0;339;0;inf
W06-I-A3_1180_Chaussée de Waterloo_715;1;0;2;1;3;50.0;34;1;1;100.0;1;50.0;2;66.67;1;1;0;0;0.0
project Cityloft - Hasselt (ftth);0;0;0;1;0;0.0;0;0;0;0.0;0;0.0;0;0.0;0;0;0;0;0.0
rue vanderkindere 240;0;0;0;1;0;0.0;1;0;0;0.0;0;0.0;1;0.0;0;0;0;0;0.0
