Projectnummer;Opdrachtnummer;Blok;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
MECHELEN - FH01;4741889;BL0125;4741889;;Borzestraat 34-36;Borzestraat;34;;;D;2020-03-03 09:40:15;Dieu Jocelin;MDU;0;1;0;1;BUILDING template
MECHELEN - FH01;3031561;BL0125;3031561;;Borzestraat 34-36;Borzestraat;36;;;D;2020-03-03 09:40:15;Dieu Jocelin;MDU;1;0;0;1;BUILDING template
MECHELEN - FH01;5898870;BL0116;5898870;;Begijnenstraat 51_Vismarkt 18;Begijnenstraat;51;;;D;2020-01-20 12:25:22;Jo De Clippel;MDU;1;1;0;2;BUILDING template
MECHELEN - FH01;905658;BL0116;905658;;Begijnenstraat 51_Vismarkt 18;Vismarkt;18;;;D;2020-01-20 12:25:22;Jo De Clippel;MDU;1;0;0;1;BUILDING template
MECHELEN - FH01;905645;BL0110;905645;;Begijnenstraat 50-50A;Begijnenstraat;50;;;;;Dirk Marien;MDU;0;12;0;12;BUILDING template
MECHELEN - FH01;5318115;BL0110;5318115;;Begijnenstraat 50-50A;Begijnenstraat;50;A;;;;Dirk Marien;MDU;0;6;0;6;BUILDING template
MECHELEN - FH01;4205021;BL0116;4205021;;Begijnenstraat 33-35-37-39-41-43A;Begijnenstraat;33;;;XC;2020-03-13 15:15:15;Jo De Clippel;MDU;0;6;1;7;BUILDING template
MECHELEN - FH01;1459413;BL0116;1459413;;Begijnenstraat 33-35-37-39-41-43A;Begijnenstraat;35;;;XC;2020-03-13 15:15:15;Jo De Clippel;MDU;0;6;1;7;BUILDING template
MECHELEN - FH01;1461368;BL0116;1461368;;Begijnenstraat 33-35-37-39-41-43A;Begijnenstraat;37;;;XC;2020-03-13 15:15:15;Jo De Clippel;MDU;0;6;1;7;BUILDING template
MECHELEN - FH01;3030841;BL0116;3030841;;Begijnenstraat 33-35-37-39-41-43A;Begijnenstraat;39;;;XC;2020-03-13 15:15:15;Jo De Clippel;MDU;0;6;1;7;BUILDING template
MECHELEN - FH01;3943977;BL0116;3943977;;Begijnenstraat 33-35-37-39-41-43A;Begijnenstraat;41;;;XC;2020-03-13 15:15:15;Jo De Clippel;MDU;0;6;1;7;BUILDING template
MECHELEN - FH01;3943978;BL0116;3943978;;Begijnenstraat 33-35-37-39-41-43A;Begijnenstraat;43;A;;XC;2020-03-13 15:15:15;Jo De Clippel;MDU;0;6;1;7;BUILDING template
MECHELEN - FH01;3032937;BL0105;3032937;;;Frederik de Merodestraat;4;;;D;2020-03-17 10:20:09;Dieu Jocelin;MDU;1;1;1;3;BUILDING template
MECHELEN - FH01;904317;BL0128;904317;;;Korte Schipstraat;29;;;;;Abdelmalek Lamkoref;SDU;0;1;0;1;BUILDING template
MECHELEN - FH01;5383991;BL0102;5383991;;;Sint-Janstraat;16;;;;;Kevin Dekens;SDU;0;1;0;1;BUILDING template
MECHELEN - FH01;3032938;BL0106;3032938;;;Frederik de Merodestraat;5;;;D;2018-09-04;Bernardo Kana da Rosa;MDU;1;1;0;2;BUILDING template
