Projectnummer;Opdrachtnummer;Blok;Cluster NR;LAM MK;BG Id;BG Name;Bg Name ifh;Kolom1;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
SINT-NIKLAAS - FH02;1372937;BL0205;1;1372937;;Sint-Rochushof 1-2-3-4-5-6-7-8-9-31;;ONWAAR;Sint-Rochushof;31;;;D;2020-02-29 18:50:06;Hidde Kiekens;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;6518490;BL0204;1;6518490;;Regentiestraat 78-78A;;ONWAAR;Regentiestraat;78;A;;;2020-01-31;Hidde Kiekens;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;4030312;BL0204;1;4030312;;Regentiestraat 78-78A;;ONWAAR;Regentiestraat;78;;;D;2018-09-06;Francois Glaude;MDU;0;4;0;4;BUILDING template
SINT-NIKLAAS - FH02;5380502;BL0204;1;5380502;;Regentiestraat 50-52-54-56-58-58A-58B-58C-60-62-64-66-68-70-72-74;;ONWAAR;Regentiestraat;58;A;;XC;2020-02-29 14:00:11;Hidde Kiekens;MDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;3512966;BL0204;1;3512966;;Regentiestraat 50-52-54-56-58-58A-58B-58C-60-62-64-66-68-70-72-74;;ONWAAR;Regentiestraat;58;B;;XC;2020-02-29 14:00:11;Hidde Kiekens;MDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;3512968;BL0204;1;3512968;;Regentiestraat 50-52-54-56-58-58A-58B-58C-60-62-64-66-68-70-72-74;;ONWAAR;Regentiestraat;60;;;XC;2020-02-29 14:00:11;Hidde Kiekens;MDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;3512982;BL0204;1;3512982;;Regentiestraat 50-52-54-56-58-58A-58B-58C-60-62-64-66-68-70-72-74;;ONWAAR;Regentiestraat;66;;;;;Abdelmalek Lamkoref;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;4030709;BL0204;1;4030709;;Regentiestraat 50-52-54-56-58-58A-58B-58C-60-62-64-66-68-70-72-74;;ONWAAR;Regentiestraat;68;;;XC;2020-02-29 14:00:11;Hidde Kiekens;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3512990;BL0204;1;3512990;;Regentiestraat 50-52-54-56-58-58A-58B-58C-60-62-64-66-68-70-72-74;;ONWAAR;Regentiestraat;72;;;XC;2020-02-29 14:00:11;Hidde Kiekens;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3512957;BL0204;1;3512957;;Regentiestraat 50-52-54-56-58-58A-58B-58C-60-62-64-66-68-70-72-74;;ONWAAR;Regentiestraat;56;;;XC;2020-02-29 14:00:11;Hidde Kiekens;MDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;3512972;BL0204;1;3512972;;Regentiestraat 50-52-54-56-58-58A-58B-58C-60-62-64-66-68-70-72-74;;ONWAAR;Regentiestraat;62;;;XC;2020-02-29 14:00:11;Hidde Kiekens;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3512977;BL0204;1;3512977;;Regentiestraat 50-52-54-56-58-58A-58B-58C-60-62-64-66-68-70-72-74;;ONWAAR;Regentiestraat;64;;;XC;2020-02-29 14:00:11;Hidde Kiekens;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3512988;BL0204;1;3512988;;Regentiestraat 50-52-54-56-58-58A-58B-58C-60-62-64-66-68-70-72-74;;ONWAAR;Regentiestraat;70;;;XC;2020-02-29 14:00:11;Hidde Kiekens;MDU;0;1;0;1;BUILDING template
SINT-NIKLAAS - FH02;3512944;BL0204;1;3512944;;Regentiestraat 50-52-54-56-58-58A-58B-58C-60-62-64-66-68-70-72-74;;ONWAAR;Regentiestraat;52;;;XC;2020-02-29 14:00:11;Hidde Kiekens;MDU;1;48;2;51;BUILDING template
SINT-NIKLAAS - FH02;5446952;BL0204;1;5446952;;Regentiestraat 50-52-54-56-58-58A-58B-58C-60-62-64-66-68-70-72-74;;ONWAAR;Regentiestraat;58;C;;;;Abdelmalek Lamkoref;MDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;3512964;BL0204;1;3512964;;Regentiestraat 50-52-54-56-58-58A-58B-58C-60-62-64-66-68-70-72-74;;ONWAAR;Regentiestraat;58;;;;2018-12-13;Hidde Kiekens;MDU;0;0;0;0;BUILDING template
SINT-NIKLAAS - FH02;5577989;BL0204;1;5577989;;Regentiestraat 50-52-54-56-58-58A-58B-58C-60-62-64-66-68-70-72-74;;ONWAAR;Regentiestraat;74;;;;;Abdelmalek Lamkoref;MDU;1;0;0;1;BUILDING template
SINT-NIKLAAS - FH02;62541;BL0204;1;62541;;Regentiestraat 50-52-54-56-58-58A-58B-58C-60-62-64-66-68-70-72-74;;ONWAAR;Regentiestraat;50;;;;;;MDU;0;0;0;0;BUILDING template
SINT-NIKLAAS - FH02;3512954;BL0204;1;3512954;;Regentiestraat 50-52-54-56-58-58A-58B-58C-60-62-64-66-68-70-72-74;;ONWAAR;Regentiestraat;54;;;;;;MDU;0;0;0;0;BUILDING template
SINT-NIKLAAS - FH02;3512928;BL0204;1;3512928;;Regentiestraat 42-46;;ONWAAR;Regentiestraat;42;;;D;2020-02-13 14:05:32;Hidde Kiekens;MDU;1;1;0;2;BUILDING template
SINT-NIKLAAS - FH02;62527;BL0204;1;62527;;Regentiestraat 42-46;;ONWAAR;Regentiestraat;46;;;;2018-12-13;Hidde Kiekens;MDU;1;0;0;1;BUILDING template
