Projectnummer;Opdrachtnummer;Blok;Cluster NR;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
HASSELT - FH06;78255;BL0003;;78255;33665787;Helbeekplein 3-4-5-6;Helbeekplein;3;;20200511175359;;;Dieu Jocelin;MDU;0;13;0;13;BUILDING template
HASSELT - FH06;2413971;BL0012;;2413971;;;Rembert Dodoenslaan;19;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;78256;BL0003;;78256;33665787;Helbeekplein 3-4-5-6;Helbeekplein;4;;20200511175359;;;Dieu Jocelin;MDU;0;14;0;14;BUILDING template
HASSELT - FH06;2413973;BL0012;;2413973;;;Rembert Dodoenslaan;20;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;78257;BL0003;;78257;33665787;Helbeekplein 3-4-5-6;Helbeekplein;5;;20200511175359;;;Dieu Jocelin;MDU;0;14;0;14;BUILDING template
HASSELT - FH06;662054;BL0012;;662054;;;Rembert Dodoenslaan;21;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;78258;BL0003;;78258;33665787;Helbeekplein 3-4-5-6;Helbeekplein;6;;20200511175359;;;Dieu Jocelin;MDU;0;14;0;14;BUILDING template
HASSELT - FH06;662053;BL0012;;662053;;;Rembert Dodoenslaan;22;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;78333;BL0003;;78333;33665788;Helbeekplein 7-8-9;Helbeekplein;7;;20200511175359;;;Dieu Jocelin;MDU;0;27;0;27;BUILDING template
HASSELT - FH06;2413976;BL0012;;2413976;;;Rembert Dodoenslaan;24;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;78334;BL0003;;78334;33665788;Helbeekplein 7-8-9;Helbeekplein;8;;20200511175359;;;Dieu Jocelin;MDU;0;28;0;28;BUILDING template
HASSELT - FH06;2413979;BL0012;;2413979;;;Rembert Dodoenslaan;25;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;3937371;BL0003;;3937371;33665788;Helbeekplein 7-8-9;Helbeekplein;9;;20200511175359;;;Dieu Jocelin;MDU;0;26;0;26;BUILDING template
HASSELT - FH06;2413980;BL0012;;2413980;;;Rembert Dodoenslaan;26;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;1174349;BL0020;;1174349;;;Singelbeekstraat;12;;;;;Dieu Jocelin;SDU;1;0;0;1;BUILDING template
HASSELT - FH06;2417629;BL0009;;2417629;;;Heldenplein;1;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;662057;BL0012;;662057;;;Rembert Dodoenslaan;27;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2417630;BL0009;;2417630;;;Heldenplein;2;;;;;Dieu Jocelin;MDU;1;0;1;2;BUILDING template
HASSELT - FH06;662058;BL0012;;662058;;;Rembert Dodoenslaan;28;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2417631;BL0009;;2417631;;;Heldenplein;3;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2413981;BL0012;;2413981;;;Rembert Dodoenslaan;29;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2417633;BL0009;;2417633;;;Heldenplein;4;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2413982;BL0012;;2413982;;;Rembert Dodoenslaan;30;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;1174346;BL0020;;1174346;;;Singelbeekstraat;16;;;;;Dieu Jocelin;MDU;2;1;0;3;BUILDING template
HASSELT - FH06;662555;BL0008;;662555;;;Heldenplein;8;;;;;Dieu Jocelin;MDU;1;1;0;2;BUILDING template
HASSELT - FH06;2413983;BL0012;;2413983;;;Rembert Dodoenslaan;31;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;1274790;BL0008;;1274790;;;Heldenplein;9;;;;;Dieu Jocelin;MDU;1;2;1;4;BUILDING template
HASSELT - FH06;662055;BL0012;;662055;;;Rembert Dodoenslaan;32;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2417635;BL0008;;2417635;;;Heldenplein;10;;;;;Dieu Jocelin;MDU;1;0;1;2;BUILDING template
HASSELT - FH06;4032361;BL0012;;4032361;;;Rembert Dodoenslaan;33;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;662554;BL0008;;662554;;;Heldenplein;11;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;662012;BL0013;;662012;;;Simon Stevinlaan;2;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;662050;BL0010;;662050;;;Jan Palfijnlaan;2;;;;;Dieu Jocelin;MDU;1;0;1;2;BUILDING template
HASSELT - FH06;662014;BL0011;;662014;;;Simon Stevinlaan;3;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;662049;BL0010;;662049;;;Jan Palfijnlaan;4;;;;;Dieu Jocelin;MDU;1;0;1;2;BUILDING template
HASSELT - FH06;4056383;BL0013;;4056383;;;Simon Stevinlaan;4;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2433682;BL0011;;2433682;;;Jan Palfijnlaan;7;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2441132;BL0011;;2441132;;;Simon Stevinlaan;5;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2433685;BL0011;;2433685;;;Jan Palfijnlaan;9;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2441135;BL0011;;2441135;;;Simon Stevinlaan;7;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2433687;BL0011;;2433687;;;Jan Palfijnlaan;19;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2441139;BL0013;;2441139;;;Simon Stevinlaan;8;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2433688;BL0011;;2433688;;;Jan Palfijnlaan;21;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2441144;BL0011;;2441144;;;Simon Stevinlaan;9;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2433689;BL0011;;2433689;;;Jan Palfijnlaan;23;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;662015;BL0011;;662015;;;Simon Stevinlaan;11;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;662048;BL0011;;662048;;;Jan Palfijnlaan;25;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;662016;BL0012;;662016;;;Simon Stevinlaan;13;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;662046;BL0011;;662046;;;Jan Palfijnlaan;27;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2441152;BL0013;;2441152;;;Simon Stevinlaan;14;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;666220;BL0015;;666220;;;Jan van Helmontlaan;1;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;662018;BL0012;;662018;;;Simon Stevinlaan;15;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;666221;BL0017;;666221;;;Jan van Helmontlaan;2;;;;;Dieu Jocelin;MDU;0;4;0;4;BUILDING template
HASSELT - FH06;2441157;BL0013;;2441157;;;Simon Stevinlaan;16;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2444519;BL0016;;2444519;;;Jan van Helmontlaan;3;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;4861446;BL0013;;4861446;;;Simon Stevinlaan;18;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2444521;BL0016;;2444521;;;Jan van Helmontlaan;5;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2441159;BL0013;;2441159;;;Simon Stevinlaan;20;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2444523;BL0016;;2444523;;;Jan van Helmontlaan;7;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;662013;BL0013;;662013;;;Simon Stevinlaan;22;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2444526;BL0016;;2444526;;;Jan van Helmontlaan;9;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;662021;BL0012;;662021;;;Simon Stevinlaan;26;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2444529;BL0016;;2444529;;;Jan van Helmontlaan;11;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;662020;BL0012;;662020;;;Simon Stevinlaan;28;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;4027575;BL0016;;4027575;;;Jan van Helmontlaan;13;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2441164;BL0012;;2441164;;;Simon Stevinlaan;32;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
HASSELT - FH06;2444533;BL0016;;2444533;;;Jan van Helmontlaan;15;;;;;Dieu Jocelin;SDU;0;1;0;1;BUILDING template
