Projectnummer;Opdrachtnummer;Blok;Cluster NR;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
EVERE - FH01;1620458;BL0122;9;1620458;;;Avenue Artemis - Artemislaan;12;;;;2019-09-23 13:05:17;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;1622754;BL0127;2;1622754;;;Avenue Constant Permeke - Constant Permekelaan;47;;;;2019-11-12 07:15:16;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;1621732;BL0109;4;1621732;;;Rue Hugo Verriest - Hugo Verrieststraat;21;;;;2019-11-25 10:10:31;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;5815572;BL0104;4;5815572;;;Clos des Compagnons Bâtisseurs - Bouwgezellenerf;12;;;;2019-11-21 10:30:29;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;1620970;BL0104;6;1620970;;;Rue du Maquis - Maquisstraat;5;;;;2019-11-04 08:55:15;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;1622020;BL0110;6;1622020;;;Rue Georges De Lombaerde - G. De Lombaerdestraat;52;;;;2019-11-12 11:05:15;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;1120016;BL0122;9;1120016;;;Avenue Artemis - Artemislaan;13;;;;2019-09-23 13:10:15;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;1622755;BL0127;2;1622755;;;Avenue Constant Permeke - Constant Permekelaan;49;;;;2019-11-12 07:00:21;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;726287;BL0109;4;726287;;;Rue Hugo Verriest - Hugo Verrieststraat;23;;;;2019-11-25 10:10:33;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;5612075;BL0104;4;5612075;;;Clos des Compagnons Bâtisseurs - Bouwgezellenerf;15;;;;2019-11-21 10:15:26;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;1620974;BL0104;6;1620974;;;Rue du Maquis - Maquisstraat;9;;;D;2020-03-12;Maayken Vanfleteren;MDU;0;3;0;3;BUILDING template
EVERE - FH01;1622021;BL0110;6;1622021;;;Rue Georges De Lombaerde - G. De Lombaerdestraat;54;;;;2019-11-12 11:05:18;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;1120017;BL0122;9;1120017;;;Avenue Artemis - Artemislaan;23;;;D;2018-04-30 16:35:31;Andreas Versteeven;MDU;0;7;0;7;BUILDING template
EVERE - FH01;1622756;BL0127;2;1622756;;;Avenue Constant Permeke - Constant Permekelaan;51;;;;2019-11-08 11:10:16;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;726265;BL0109;4;726265;;;Rue du Maquis - Maquisstraat;76;;;;2019-11-04 09:20:24;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;5479939;BL0104;4;5479939;;;Clos des Compagnons Bâtisseurs - Bouwgezellenerf;25;;;;2019-11-21 10:10:14;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;1620976;BL0104;6;1620976;;;Rue du Maquis - Maquisstraat;11;;;;2019-08-23;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;1622024;BL0110;6;1622024;;;Rue Georges De Lombaerde - G. De Lombaerdestraat;56;;;;2019-11-12 11:05:20;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;1623868;BL0119;9;1623868;11449855;Cicerolaan 35_Kerkhof van Brussellaan 136-138-142;Avenue du Cimetière de Bruxelles - Kerkhof van Brussellaan;142;;20191116010452;XC;2019-09-03;Jonathan Collignon;MDU;0;10;2;12;BUILDING template
EVERE - FH01;1620459;BL0122;9;1620459;;;Avenue Artemis - Artemislaan;24;;;D;2018-04-30 16:15:03;Andreas Versteeven;MDU;0;8;0;8;BUILDING template
EVERE - FH01;724005;BL0127;2;724005;;;Avenue Constant Permeke - Constant Permekelaan;53;;;;2019-11-08 11:10:17;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;4119544;BL0109;4;4119544;;;Rue du Maquis - Maquisstraat;78;;;;2019-09-13 16:00:20;Maayken Vanfleteren;SDU;0;1;0;1;BUILDING template
EVERE - FH01;5479940;BL0104;4;5479940;;;Clos des Compagnons Bâtisseurs - Bouwgezellenerf;27;;;;2019-11-21 10:10:17;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;1620978;BL0104;6;1620978;;;Rue du Maquis - Maquisstraat;13;;;;2019-11-04 09:10:15;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;1622025;BL0110;6;1622025;;;Rue Georges De Lombaerde - G. De Lombaerdestraat;58;;;;2019-11-12 11:10:15;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;5903896;BL0104;6;5903896;;;Clos de la Glaisière - Leemputgaarde;2;;;;;;SDU;0;1;0;1;BUILDING template
EVERE - FH01;1120023;BL0120;9;1120023;;;Avenue du Cimetière de Bruxelles - Kerkhof van Brussellaan;135;;;D;2018-05-02 11:52:06;Andreas Versteeven;MDU;1;1;0;2;BUILDING template
EVERE - FH01;1620460;BL0122;9;1620460;;;Avenue Artemis - Artemislaan;25;;;D;2018-04-30 14:41:00;Andreas Versteeven;MDU;0;8;0;8;BUILDING template
EVERE - FH01;1622757;BL0127;2;1622757;;;Avenue Constant Permeke - Constant Permekelaan;55;;;;2019-11-08 11:15:24;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;1621022;BL0109;4;1621022;;;Rue du Maquis - Maquisstraat;80;;;;2019-11-04 09:20:15;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;5457203;BL0104;6;5457203;;;Clos des Briquetiers - Steenbakkerserf;2;;;;2019-11-21 10:50:14;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;1620980;BL0104;6;1620980;;;Rue du Maquis - Maquisstraat;15;;;;2019-11-04 09:10:13;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;1622026;BL0110;6;1622026;;;Rue Georges De Lombaerde - G. De Lombaerdestraat;60;;;;2019-11-12 11:10:17;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;1120022;BL0120;3;1120022;;;Avenue du Cimetière de Bruxelles - Kerkhof van Brussellaan;123;;;D;2018-06-04 18:20:17;Jan Knegtel;MDU;1;1;1;3;BUILDING template
EVERE - FH01;1620461;BL0122;9;1620461;;;Avenue Artemis - Artemislaan;26;;;D;2018-04-30 15:25:03;Andreas Versteeven;MDU;0;8;0;8;BUILDING template
EVERE - FH01;1622758;BL0127;2;1622758;;;Avenue Constant Permeke - Constant Permekelaan;57;;;;2019-11-08 11:20:13;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;1621024;BL0109;4;1621024;;;Rue du Maquis - Maquisstraat;82;;;;2019-11-04 09:20:18;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;5694876;BL0104;4;5694876;;;Clos des Compagnons Bâtisseurs - Bouwgezellenerf;1;;;;2019-11-21 10:25:17;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;1620982;BL0104;6;1620982;;;Rue du Maquis - Maquisstraat;17;;;;2019-11-25 11:05:20;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;1622027;BL0110;6;1622027;;;Rue Georges De Lombaerde - G. De Lombaerdestraat;62;;;;2019-11-12 11:10:20;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;1622154;BL0113;8;1622154;10373234;Sint-Jozefstraat 15-21-27;Rue Saint-Joseph - Sint-Jozefstraat;21;;20181012010900;C;2019-12-03;Marouane Zoubir;MDU;0;10;0;10;BUILDING template
EVERE - FH01;1623866;BL0120;9;1623866;;;Avenue du Cimetière de Bruxelles - Kerkhof van Brussellaan;137;;;D;2018-05-02 13:31:40;Andreas Versteeven;MDU;1;1;0;2;BUILDING template
EVERE - FH01;1620462;BL0122;9;1620462;;;Avenue Artemis - Artemislaan;27;;;D;2018-04-30 15:11:02;Andreas Versteeven;MDU;0;4;0;4;BUILDING template
EVERE - FH01;4114987;BL0127;2;4114987;;;Avenue Constant Permeke - Constant Permekelaan;59;;;;2019-11-08 11:20:15;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;5866855;BL0118;3;5866855;;;Avenue Cicéron - Cicerolaan;7;;;;;;SDU;1;0;0;1;BUILDING template
EVERE - FH01;1621026;BL0109;4;1621026;;;Rue du Maquis - Maquisstraat;84;;;;2019-11-25 11:20:39;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;1620984;BL0104;6;1620984;;;Rue du Maquis - Maquisstraat;19;;;;2019-11-25 11:01:57;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
EVERE - FH01;1622028;BL0110;6;1622028;;;Rue Georges De Lombaerde - G. De Lombaerdestraat;64;;;;2019-11-12 11:10:22;Jonathan Collignon;SDU;0;1;0;1;BUILDING template
