Projectnummer;Opdrachtnummer;Blok;Cluster NR;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
KNOKKE-HEIST - FH11;4336370;BL1121;;4336370;;;Pannenstraat;128;;;;;Peter Van Leeuwen;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2760201;BL1131;;2760201;;;Heistlaan;110;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;301797;BL1126;;301797;;;de Vrierestraat;21;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2759512;BL1101;;2759512;;;Eieburg;8;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2762651;BL1139;;2762651;;;Leenstraat;17;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2764815;BL1121;;2764815;;;Pannenstraat;140;;;;;Peter Van Leeuwen;SDU;1;0;0;1;BUILDING template
KNOKKE-HEIST - FH11;2767450;BL1127;;2767450;;de Vrierestraat 28-30;de Vrierestraat;30;;;XC;2020-03-10 12:25:09;Maayken Vanfleteren;MDU;0;3;1;4;BUILDING template
KNOKKE-HEIST - FH11;4336373;BL1123;;4336373;;;Pannenstraat;104;;;;;Peter Van Leeuwen;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;292534;BL1104;;292534;;;Sint-Jozefsstraat;23;;;D;2020-02-09 12:05:12;Geert Stockman;MDU;0;6;0;6;BUILDING template
KNOKKE-HEIST - FH11;301799;BL1126;;301799;;;Kursaalstraat;40;;;;;Peter Van Leeuwen;SDU;1;0;0;1;BUILDING template
KNOKKE-HEIST - FH11;2759514;BL1101;;2759514;;;Eieburg;12;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2762652;BL1138;;2762652;;;Leenstraat;18;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2764959;BL1114;;2764959;;;De Garre;2;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2767452;BL1126;;2767452;;;de Vrierestraat;31;;;D;2020-01-04 14:50:13;Maayken Vanfleteren;MDU;0;3;0;3;BUILDING template
KNOKKE-HEIST - FH11;4336382;BL1122;;4336382;;;Felix Timmermansstraat;18;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;292535;BL1102;;292535;;;Sint-Jozefsstraat;48;;;D;2020-02-24 13:00:29;Hidde Kiekens;MDU;0;4;0;4;BUILDING template
KNOKKE-HEIST - FH11;2759515;BL1101;;2759515;;;Eieburg;14;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2762653;BL1138;;2762653;;;Leenstraat;20;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2764961;BL1114;;2764961;;;De Garre;5;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2767453;BL1126;;2767453;;;de Vrierestraat;35;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;4336393;BL1121;;4336393;;;Felix Timmermansstraat;5;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;292536;BL1104;;292536;;;Sint-Jozefsstraat;3;;;;;Geert Stockman;SDU;1;0;0;1;BUILDING template
KNOKKE-HEIST - FH11;301801;BL1127;;301801;;;Stadhuisstraat;20;;;D;2020-01-07 11:15:32;Geert Stockman;MDU;0;3;0;3;BUILDING template
KNOKKE-HEIST - FH11;2759819;BL1131;;2759819;;;Evendijk;4;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2762654;BL1139;;2762654;;;Leenstraat;21;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2764962;BL1114;;2764962;;;De Garre;6;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2767455;BL1126;;2767455;;;de Vrierestraat;39;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;4336394;BL1121;;4336394;;;Felix Timmermansstraat;7;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;292537;BL1102;;292537;;Sint-Jozefsstraat 20-22;Sint-Jozefsstraat;20;;;D;2020-02-09 12:55:10;Geert Stockman;MDU;0;6;0;6;BUILDING template
KNOKKE-HEIST - FH11;301802;BL1126;;301802;;;Stadhuisstraat;8;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2759933;BL1111;;2759933;;;Garnaalstraat;6;;;D;2020-02-08 17:20:14;Geert Stockman;MDU;0;2;0;2;BUILDING template
KNOKKE-HEIST - FH11;2762655;BL1138;;2762655;;;Leenstraat;22;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2765630;BL1120;;2765630;;;Polderstraat;6;;;;;Peter Van Leeuwen;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2767456;BL1135;;2767456;;;de Vrierestraat;49;;;;;Peter Van Leeuwen;SDU;1;0;0;1;BUILDING template
KNOKKE-HEIST - FH11;2760202;BL1133;;2760202;;;Heistlaan;111;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;292539;BL1102;;292539;;;Sint-Jozefsstraat;2;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;301803;BL1126;;301803;;;Stadhuisstraat;6;;;;;Geert Stockman;SDU;1;0;0;1;BUILDING template
KNOKKE-HEIST - FH11;2759934;BL1111;;2759934;;;Garnaalstraat;8;;;D;2020-02-08 17:10:13;Geert Stockman;MDU;0;2;0;2;BUILDING template
KNOKKE-HEIST - FH11;2762656;BL1138;;2762656;;;Leenstraat;24;;;;;olivier collignon;SDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH11;2765633;BL1120;;2765633;;;Polderstraat;8;;;D;2020-01-10 14:20:16;Hidde Kiekens;MDU;0;4;0;4;BUILDING template
KNOKKE-HEIST - FH11;2767460;BL1144;;2767460;;;Vuurkruisersstraat;6;;;;;Geert Stockman;SDU;0;1;0;1;BUILDING template
