Projectnummer;Opdrachtnummer;LAM MK;BG Id;BG Name;BG Name IFH;Actie;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
ANTWERPEN-WEST - FH07;60703;60703;11382511;Reyndersstraat 26-28-30;Reyndersstraat 26-28-30;building groep naam in IFH aanpassen;Reyndersstraat;30;;;2018-10-02;Nicholas De Mol;MDU;0;1;0;1;BUILDING template
ANTWERPEN-WEST - FH07;4507885;4507885;11382511;Reyndersstraat 26-28-30;Reyndersstraat 26-28-30;building groep naam in IFH aanpassen;Reyndersstraat;28;;;;;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH07;44497;44497;11382621;Sint-Andriesplaats 3-4-5;Sint-Andriesplaats 3-4-5;building groep naam in IFH aanpassen;Sint-Andriesplaats;5;;;;;MDU;0;1;0;1;BUILDING template
ANTWERPEN-WEST - FH07;3918214;3918214;11382621;Sint-Andriesplaats 3-4-5;Sint-Andriesplaats 3-4-5;building groep naam in IFH aanpassen;Sint-Andriesplaats;4;;;;;MDU;0;1;0;1;BUILDING template
ANTWERPEN-WEST - FH07;1735119;1735119;11382621;Sint-Andriesplaats 3-4-5;Sint-Andriesplaats 3-4-5;building groep naam in IFH aanpassen;Sint-Andriesplaats;3;;;;Olivier Collignon;MDU;0;9;0;9;BUILDING template
ANTWERPEN-WEST - FH07;60993;60993;11382531;Steenbergstraat 40_Nationalestraat 102;Nationalestraat - Steenbergstraat 40;Building Group verwijderen;Nationalestraat;102;;;;Olivier Collignon;SDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH07;61003;61003;11382531;Steenbergstraat 40_Nationalestraat 102;Nationalestraat - Steenbergstraat 40;Building Group verwijderen;Steenbergstraat;40;;D;2019-10-16 13:46:48;Peter Cremers;MDU;0;4;0;4;BUILDING template
ANTWERPEN-WEST - FH07;48907;48907;11382559;Steenhouwersvest 27-29-31-33_Vrijdagmarktstraatje 3;Steenhouwersvest 27-29-31-33_Vrijdagmarktstraatje 3;building groep naam in IFH aanpassen;Steenhouwersvest;27;;XC;2019-12-17 13:45:25;Peter Van Leeuwen;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH07;2054515;2054515;11382559;Steenhouwersvest 27-29-31-33_Vrijdagmarktstraatje 3;Steenhouwersvest 27-29-31-33_Vrijdagmarktstraatje 3;building groep naam in IFH aanpassen;Steenhouwersvest;29;;XC;2019-12-17 13:45:25;Peter Van Leeuwen;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH07;2054517;2054517;11382559;Steenhouwersvest 27-29-31-33_Vrijdagmarktstraatje 3;Steenhouwersvest 27-29-31-33_Vrijdagmarktstraatje 3;building groep naam in IFH aanpassen;Steenhouwersvest;31;;XC;2019-12-17 13:45:25;Peter Van Leeuwen;MDU;0;6;0;6;BUILDING template
ANTWERPEN-WEST - FH07;5576281;5576281;11382559;Steenhouwersvest 27-29-31-33_Vrijdagmarktstraatje 3;Steenhouwersvest 27-29-31-33_Vrijdagmarktstraatje 3;building groep naam in IFH aanpassen;Steenhouwersvest;33;;XC;2019-12-17 13:45:25;Peter Van Leeuwen;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH07;3928766;3928766;;Steenhouwersvest 27-29-31-33_Vrijdagmarktstraatje 3;Steenhouwersvest 27-29-31-33_Vrijdagmarktstraatje 3;building groep naam in IFH aanpassen;Vrijdagmarktstraatje;3;;XC;2019-12-17 13:45:25;Peter Van Leeuwen;MDU;0;3;0;3;BUILDING template
ANTWERPEN-WEST - FH07;5992875;5992875;11382505;Van Craesbeeckstraat 11-13-13A-15-15B;Van Craesbeeckstraat 11-13-13A-15-15B;Building Group verwijderen;Van Craesbeeckstraat;15;B;D;2019-12-18 11:16:19;Dave Ruelens;MDU;0;4;2;6;BUILDING template
ANTWERPEN-WEST - FH07;3919740;3919740;11382505;Van Craesbeeckstraat 11-13-13A-15-15B;Van Craesbeeckstraat 11-13-13A-15-15B;Building Group verwijderen;Van Craesbeeckstraat;13;A;D;2019-10-16 11:00:48;Dave Ruelens;MDU;0;5;2;7;BUILDING template
ANTWERPEN-WEST - FH07;976568;976568;11382505;Van Craesbeeckstraat 11-13-13A-15-15B;Van Craesbeeckstraat 11-13-13A-15-15B;Building Group verwijderen;Van Craesbeeckstraat;11;;D;2019-10-16 11:05:13;Dave Ruelens;MDU;0;5;2;7;BUILDING template
