Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;BLOCK_NR_LU;Opdrachttemplate;BG Name;Straat;Huisnummer;Huisnummer Toevoeging
EVERE - FH03;4245253;;BL0331;4245253;BL0331;BUILDING template;August De Boeckstraat 31-33;August De Boeckstraat - Rue Auguste De Boeck;31;
EVERE - FH03;1623682;;BL0333;1623682;BL0333;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;32;
EVERE - FH03;4114665;;BL0331;4114665;BL0331;BUILDING template;August De Boeckstraat 31-33;August De Boeckstraat - Rue Auguste De Boeck;33;
EVERE - FH03;1623683;;BL0333;1623683;BL0333;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;34;
EVERE - FH03;1623684;;BL0331;1623684;BL0331;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;35;
EVERE - FH03;5429857;;BL0331;5429857;BL0331;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;35;A
EVERE - FH03;1623685;;BL0333;1623685;BL0333;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;36;
EVERE - FH03;1623686;;BL0331;1623686;BL0331;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;37;
EVERE - FH03;4119647;;BL0333;4119647;BL0333;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;38;
EVERE - FH03;1623687;;BL0331;1623687;BL0331;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;39;
EVERE - FH03;3954061;;BL0333;3954061;BL0333;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;40;
EVERE - FH03;1465804;;BL0331;1465804;BL0331;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;41;
EVERE - FH03;1623688;;BL0331;1623688;BL0331;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;41;A
EVERE - FH03;1623689;;BL0333;1623689;BL0333;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;42;
EVERE - FH03;4023184;;BL0331;4023184;BL0331;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;43;
EVERE - FH03;1623690;;BL0333;1623690;BL0333;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;44;
EVERE - FH03;838799;;BL0331;838799;BL0331;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;45;
EVERE - FH03;1623691;;BL0333;1623691;BL0333;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;46;
EVERE - FH03;839672;;BL0332;839672;BL0332;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;47;
EVERE - FH03;1623692;;BL0333;1623692;BL0333;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;48;
EVERE - FH03;1623693;;BL0332;1623693;BL0332;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;49;
EVERE - FH03;4091551;;BL0333;4091551;BL0333;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;50;
EVERE - FH03;1623694;;BL0332;1623694;BL0332;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;51;
EVERE - FH03;838797;;BL0333;838797;BL0333;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;52;
EVERE - FH03;1623695;;BL0332;1623695;BL0332;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;53;
EVERE - FH03;838794;;BL0334;838794;BL0334;BUILDING template;August De Boeckstraat 54-56-58;August De Boeckstraat - Rue Auguste De Boeck;54;
EVERE - FH03;1003620;;BL0332;1003620;BL0332;BUILDING template;;August De Boeckstraat - Rue Auguste De Boeck;55;
EVERE - FH03;839670;;BL0334;839670;BL0334;BUILDING template;August De Boeckstraat 54-56-58;August De Boeckstraat - Rue Auguste De Boeck;56;
