Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;BLOCK_NR_LU;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging
KNOKKE-HEIST - FH11;71694;;BL1114;71694;BL1114;BUILDING template;Bakkersstraat;12;
KNOKKE-HEIST - FH11;8340604;;BL1114;71694;BL1114;(L/B/S)U template;Bakkersstraat;12;
KNOKKE-HEIST - FH11;71695;;BL1114;71695;BL1114;BUILDING template;Bakkersstraat;13;
KNOKKE-HEIST - FH11;8339030;;BL1114;71695;BL1114;(L/B/S)U template;Bakkersstraat;13;
KNOKKE-HEIST - FH11;301625;;BL1138;301625;BL1138;BUILDING template;Bondgenotenlaan;1;
KNOKKE-HEIST - FH11;8332616;;BL1138;301625;BL1138;(L/B/S)U template;Bondgenotenlaan;1;
KNOKKE-HEIST - FH11;5579284;;BL1137;5579284;BL1137;BUILDING template;Bondgenotenlaan;2;
KNOKKE-HEIST - FH11;11198589;;BL1137;5579284;BL1137;(L/B/S)U template;Bondgenotenlaan;2;
KNOKKE-HEIST - FH11;2758208;;BL1138;2758208;BL1138;BUILDING template;Bondgenotenlaan;3;
KNOKKE-HEIST - FH11;8354510;;BL1138;2758208;BL1138;(L/B/S)U template;Bondgenotenlaan;3;
KNOKKE-HEIST - FH11;301133;;BL1137;301133;BL1137;BUILDING template;Bondgenotenlaan;4;
KNOKKE-HEIST - FH11;8348996;;BL1137;301133;BL1137;(L/B/S)U template;Bondgenotenlaan;4;
KNOKKE-HEIST - FH11;8331790;;BL1137;301133;BL1137;(L/B/S)U template;Bondgenotenlaan;4;
KNOKKE-HEIST - FH11;8331791;;BL1137;301133;BL1137;(L/B/S)U template;Bondgenotenlaan;4;
KNOKKE-HEIST - FH11;2758210;;BL1138;2758210;BL1138;BUILDING template;Bondgenotenlaan;5;
KNOKKE-HEIST - FH11;8363926;;BL1138;2758210;BL1138;(L/B/S)U template;Bondgenotenlaan;5;
KNOKKE-HEIST - FH11;2758211;;BL1137;2758211;BL1137;BUILDING template;Bondgenotenlaan;6;
KNOKKE-HEIST - FH11;8363196;;BL1137;2758211;BL1137;(L/B/S)U template;Bondgenotenlaan;6;
KNOKKE-HEIST - FH11;2758212;;BL1138;2758212;BL1138;BUILDING template;Bondgenotenlaan;7;
KNOKKE-HEIST - FH11;8356176;;BL1138;2758212;BL1138;(L/B/S)U template;Bondgenotenlaan;7;
KNOKKE-HEIST - FH11;2758213;;BL1137;2758213;BL1137;BUILDING template;Bondgenotenlaan;8;
KNOKKE-HEIST - FH11;8357719;;BL1137;2758213;BL1137;(L/B/S)U template;Bondgenotenlaan;8;
KNOKKE-HEIST - FH11;2758214;;BL1138;2758214;BL1138;BUILDING template;Bondgenotenlaan;9;
KNOKKE-HEIST - FH11;8336376;;BL1138;2758214;BL1138;(L/B/S)U template;Bondgenotenlaan;9;
KNOKKE-HEIST - FH11;2758215;;BL1137;2758215;BL1137;BUILDING template;Bondgenotenlaan;10;
KNOKKE-HEIST - FH11;8333515;;BL1137;2758215;BL1137;(L/B/S)U template;Bondgenotenlaan;10;
KNOKKE-HEIST - FH11;2758217;;BL1137;2758217;BL1137;BUILDING template;Bondgenotenlaan;12;
KNOKKE-HEIST - FH11;8365836;;BL1137;2758217;BL1137;(L/B/S)U template;Bondgenotenlaan;12;
KNOKKE-HEIST - FH11;8365835;;BL1137;2758217;BL1137;(L/B/S)U template;Bondgenotenlaan;12;
KNOKKE-HEIST - FH11;8365834;;BL1137;2758217;BL1137;(L/B/S)U template;Bondgenotenlaan;12;
KNOKKE-HEIST - FH11;11222406;;BL1137;2758217;BL1137;(L/B/S)U template;Bondgenotenlaan;12;
KNOKKE-HEIST - FH11;2758218;;BL1138;2758218;BL1138;BUILDING template;Bondgenotenlaan;13;
KNOKKE-HEIST - FH11;8364489;;BL1138;2758218;BL1138;(L/B/S)U template;Bondgenotenlaan;13;
KNOKKE-HEIST - FH11;4336289;;BL1137;4336289;BL1137;BUILDING template;Bondgenotenlaan;14;
KNOKKE-HEIST - FH11;8349635;;BL1137;4336289;BL1137;(L/B/S)U template;Bondgenotenlaan;14;
KNOKKE-HEIST - FH11;11222410;;BL1137;4336289;BL1137;(L/B/S)U template;Bondgenotenlaan;14;
KNOKKE-HEIST - FH11;11222409;;BL1137;4336289;BL1137;(L/B/S)U template;Bondgenotenlaan;14;
KNOKKE-HEIST - FH11;11222411;;BL1137;4336289;BL1137;(L/B/S)U template;Bondgenotenlaan;14;
KNOKKE-HEIST - FH11;2758219;;BL1138;2758219;BL1138;BUILDING template;Bondgenotenlaan;15;
KNOKKE-HEIST - FH11;8351850;;BL1138;2758219;BL1138;(L/B/S)U template;Bondgenotenlaan;15;
KNOKKE-HEIST - FH11;2758220;;BL1137;2758220;BL1137;BUILDING template;Bondgenotenlaan;16;
KNOKKE-HEIST - FH11;8357047;;BL1137;2758220;BL1137;(L/B/S)U template;Bondgenotenlaan;16;
KNOKKE-HEIST - FH11;8357048;;BL1137;2758220;BL1137;(L/B/S)U template;Bondgenotenlaan;16;
KNOKKE-HEIST - FH11;2758221;;BL1138;2758221;BL1138;BUILDING template;Bondgenotenlaan;17;
KNOKKE-HEIST - FH11;8332098;;BL1138;2758221;BL1138;(L/B/S)U template;Bondgenotenlaan;17;
KNOKKE-HEIST - FH11;3939526;;BL1137;3939526;BL1137;BUILDING template;Bondgenotenlaan;18;
KNOKKE-HEIST - FH11;8338253;;BL1137;3939526;BL1137;(L/B/S)U template;Bondgenotenlaan;18;
KNOKKE-HEIST - FH11;8338252;;BL1137;3939526;BL1137;(L/B/S)U template;Bondgenotenlaan;18;
KNOKKE-HEIST - FH11;8338254;;BL1137;3939526;BL1137;(L/B/S)U template;Bondgenotenlaan;18;
KNOKKE-HEIST - FH11;11222407;;BL1137;3939526;BL1137;(L/B/S)U template;Bondgenotenlaan;18;
KNOKKE-HEIST - FH11;2758222;;BL1138;2758222;BL1138;BUILDING template;Bondgenotenlaan;19;
KNOKKE-HEIST - FH11;8350825;;BL1138;2758222;BL1138;(L/B/S)U template;Bondgenotenlaan;19;
KNOKKE-HEIST - FH11;2758223;;BL1137;2758223;BL1137;BUILDING template;Bondgenotenlaan;20;
KNOKKE-HEIST - FH11;8334026;;BL1137;2758223;BL1137;(L/B/S)U template;Bondgenotenlaan;20;
KNOKKE-HEIST - FH11;8338255;;BL1137;2758223;BL1137;(L/B/S)U template;Bondgenotenlaan;20;
KNOKKE-HEIST - FH11;8334025;;BL1137;2758223;BL1137;(L/B/S)U template;Bondgenotenlaan;20;
KNOKKE-HEIST - FH11;8355994;;BL1137;2758223;BL1137;(L/B/S)U template;Bondgenotenlaan;20;
KNOKKE-HEIST - FH11;2758225;;BL1138;2758225;BL1138;BUILDING template;Bondgenotenlaan;21;
KNOKKE-HEIST - FH11;8359089;;BL1138;2758225;BL1138;(L/B/S)U template;Bondgenotenlaan;21;
KNOKKE-HEIST - FH11;2758226;;BL1138;2758226;BL1138;BUILDING template;Bondgenotenlaan;23;
KNOKKE-HEIST - FH11;10551142;;BL1138;2758226;BL1138;(L/B/S)U template;Bondgenotenlaan;23;
KNOKKE-HEIST - FH11;10552272;;BL1138;2758226;BL1138;(L/B/S)U template;Bondgenotenlaan;23;
KNOKKE-HEIST - FH11;10551248;;BL1138;2758226;BL1138;(L/B/S)U template;Bondgenotenlaan;23;
KNOKKE-HEIST - FH11;2758227;;BL1137;2758227;BL1137;BUILDING template;Bondgenotenlaan;24;
KNOKKE-HEIST - FH11;8334024;;BL1137;2758227;BL1137;(L/B/S)U template;Bondgenotenlaan;24;
