Projectnummer;LU Key;CLUSTER_NR;LAM MK;BLOCK_NR;BLOCK_NR_LU;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging
ANTWERPEN-WEST - FH10;43818;;43818;BL0038;BL0038;BUILDING template;Leopoldplaats;9;
ANTWERPEN-WEST - FH10;43820;;43820;BL0038;BL0038;BUILDING template;Mechelsesteenweg;18;
ANTWERPEN-WEST - FH10;43821;;43821;BL0038;BL0038;BUILDING template;Mechelsesteenweg;4;
ANTWERPEN-WEST - FH10;43823;;43823;BL0038;BL0038;BUILDING template;Mechelsesteenweg;8;
ANTWERPEN-WEST - FH10;43824;;43824;BL0038;BL0038;BUILDING template;Mechelsesteenweg;10;
ANTWERPEN-WEST - FH10;43825;;43825;BL0038;BL0038;BUILDING template;Mechelsesteenweg;12;
ANTWERPEN-WEST - FH10;43826;;43826;BL0038;BL0038;BUILDING template;Mechelsesteenweg;14;
ANTWERPEN-WEST - FH10;43827;;43827;BL0038;BL0038;BUILDING template;Mechelsesteenweg;16;
ANTWERPEN-WEST - FH10;43828;;43828;BL0038;BL0038;BUILDING template;Begijnenvest;104;
ANTWERPEN-WEST - FH10;43829;;43829;BL0038;BL0038;BUILDING template;Begijnenvest;88;
ANTWERPEN-WEST - FH10;43830;;43830;BL0038;BL0038;BUILDING template;Kiliaanstraat;1;
ANTWERPEN-WEST - FH10;43831;;43831;BL0038;BL0038;BUILDING template;Kiliaanstraat;5;
ANTWERPEN-WEST - FH10;43832;;43832;BL0038;BL0038;BUILDING template;Kiliaanstraat;7;
ANTWERPEN-WEST - FH10;43834;;43834;BL0038;BL0038;BUILDING template;Britselei;2;
ANTWERPEN-WEST - FH10;4504559;;4504559;BL0029;BL0029;BUILDING template;Schermersstraat;4;
ANTWERPEN-WEST - FH10;4504581;;4504581;BL0029;BL0029;BUILDING template;Kapucinessenstraat;16;
ANTWERPEN-WEST - FH10;4504587;;4504587;BL0029;BL0029;BUILDING template;Kapucinessenstraat;28;
ANTWERPEN-WEST - FH10;4504588;;4504588;BL0029;BL0029;BUILDING template;Kapucinessenstraat;34;
ANTWERPEN-WEST - FH10;4504593;;4504593;BL0029;BL0029;BUILDING template;Begijnenvest;29;
ANTWERPEN-WEST - FH10;4504595;;4504595;BL0029;BL0029;BUILDING template;Begijnenvest;41;
ANTWERPEN-WEST - FH10;4504611;;4504611;BL0029;BL0029;BUILDING template;Terninckgang;3;
ANTWERPEN-WEST - FH10;4504616;;4504616;BL0032;BL0032;BUILDING template;Kapucinessenstraat;5;
ANTWERPEN-WEST - FH10;4504625;;4504625;BL0029;BL0029;BUILDING template;Kasteelpleinstraat;17;
ANTWERPEN-WEST - FH10;4504627;;4504627;BL0029;BL0029;BUILDING template;Kasteelpleinstraat;19;
ANTWERPEN-WEST - FH10;4504628;;4504628;BL0029;BL0029;BUILDING template;Kasteelpleinstraat;23;
ANTWERPEN-WEST - FH10;4504630;;4504630;BL0029;BL0029;BUILDING template;Kasteelpleinstraat;25;
ANTWERPEN-WEST - FH10;4504631;;4504631;BL0029;BL0029;BUILDING template;Kasteelpleinstraat;27;
ANTWERPEN-WEST - FH10;4504638;;4504638;BL0029;BL0029;BUILDING template;Terninckstraat;6;
ANTWERPEN-WEST - FH10;4504640;;4504640;BL0029;BL0029;BUILDING template;Terninckstraat;8;
ANTWERPEN-WEST - FH10;4504641;;4504641;BL0029;BL0029;BUILDING template;Terninckstraat;16;
ANTWERPEN-WEST - FH10;4504642;;4504642;BL0032;BL0032;BUILDING template;Louizastraat;30;
ANTWERPEN-WEST - FH10;4506550;;4506550;BL0033;BL0033;BUILDING template;Louizastraat;13;
ANTWERPEN-WEST - FH10;4506551;;4506551;BL0033;BL0033;BUILDING template;Begijnenvest;95;
ANTWERPEN-WEST - FH10;4506563;;4506563;BL0034;BL0034;BUILDING template;Louizastraat;27;
ANTWERPEN-WEST - FH10;4506564;;4506564;BL0035;BL0035;BUILDING template;Louizastraat;33;
ANTWERPEN-WEST - FH10;4506565;;4506565;BL0034;BL0034;BUILDING template;Begijnenvest;89;
ANTWERPEN-WEST - FH10;4506566;;4506566;BL0035;BL0035;BUILDING template;Begijnenvest;73;
ANTWERPEN-WEST - FH10;4510930;;4510930;BL0030;BL0030;BUILDING template;Kapucinessenstraat;62;
ANTWERPEN-WEST - FH10;4510966;;4510966;BL0036;BL0036;BUILDING template;Begijnenvest;66;
ANTWERPEN-WEST - FH10;4515990;;4515990;BL0008;BL0008;BUILDING template;Admiraal de Boisotstraat;10;
ANTWERPEN-WEST - FH10;4515993;;4515993;BL0009;BL0009;BUILDING template;Graaf van Hoornestraat;20;
ANTWERPEN-WEST - FH10;4515994;;4515994;BL0009;BL0009;BUILDING template;Graaf van Hoornestraat;22;
ANTWERPEN-WEST - FH10;4515998;;4515998;BL0008;BL0008;BUILDING template;Graaf van Hoornestraat;11;
ANTWERPEN-WEST - FH10;4516986;;4516986;BL0018;BL0018;BUILDING template;Volkstraat;63;
ANTWERPEN-WEST - FH10;4517166;;4517166;BL0020;BL0020;BUILDING template;Lambermontstraat;14;
ANTWERPEN-WEST - FH10;4517167;;4517167;BL0020;BL0020;BUILDING template;Lambermontstraat;16;
ANTWERPEN-WEST - FH10;4517253;;4517253;BL0002;BL0002;BUILDING template;Gijzelaarsstraat;69;
