Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;BLOCK_NR_LU;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging
SINT-NIKLAAS - FH02;3500102;1;BL0205;3500102;BL0205;BUILDING template;Klein-Hulststraat;68;
SINT-NIKLAAS - FH02;2121974;1;BL0205;3500102;BL0205;(L/B/S)U template;Klein-Hulststraat;68;
SINT-NIKLAAS - FH02;3500105;2;BL0209;3500105;BL0209;BUILDING template;Klein-Hulststraat;71;
SINT-NIKLAAS - FH02;2123005;2;BL0209;3500105;BL0209;(L/B/S)U template;Klein-Hulststraat;71;
SINT-NIKLAAS - FH02;3500111;1;BL0205;3500111;BL0205;BUILDING template;Klein-Hulststraat;74;
SINT-NIKLAAS - FH02;2123537;1;BL0205;3500111;BL0205;(L/B/S)U template;Klein-Hulststraat;74;
SINT-NIKLAAS - FH02;56057;1;BL0205;56057;BL0205;BUILDING template;Klein-Hulststraat;76;
SINT-NIKLAAS - FH02;2123842;1;BL0205;56057;BL0205;(L/B/S)U template;Klein-Hulststraat;76;
SINT-NIKLAAS - FH02;4444810;2;BL0209;4444810;BL0209;BUILDING template;Klein-Hulststraat;77;
SINT-NIKLAAS - FH02;2124020;2;BL0209;4444810;BL0209;(L/B/S)U template;Klein-Hulststraat;77;
SINT-NIKLAAS - FH02;63260;1;BL0205;63260;BL0205;BUILDING template;Klein-Hulststraat;78;
SINT-NIKLAAS - FH02;2124147;1;BL0205;63260;BL0205;(L/B/S)U template;Klein-Hulststraat;78;
SINT-NIKLAAS - FH02;4263214;2;BL0209;4263214;BL0209;BUILDING template;Klein-Hulststraat;79;
SINT-NIKLAAS - FH02;2124325;2;BL0209;4263214;BL0209;(L/B/S)U template;Klein-Hulststraat;79;
SINT-NIKLAAS - FH02;3500113;1;BL0205;3500113;BL0205;BUILDING template;Klein-Hulststraat;80;
SINT-NIKLAAS - FH02;2124907;1;BL0205;3500113;BL0205;(L/B/S)U template;Klein-Hulststraat;80;
SINT-NIKLAAS - FH02;2124908;1;BL0205;3500113;BL0205;(L/B/S)U template;Klein-Hulststraat;80;
SINT-NIKLAAS - FH02;4444813;2;BL0209;4444813;BL0209;BUILDING template;Klein-Hulststraat;81;
SINT-NIKLAAS - FH02;2125054;2;BL0209;4444813;BL0209;(L/B/S)U template;Klein-Hulststraat;81;
SINT-NIKLAAS - FH02;4447871;1;BL0205;4447871;BL0205;BUILDING template;Klein-Hulststraat;82;
SINT-NIKLAAS - FH02;2125193;1;BL0205;4447871;BL0205;(L/B/S)U template;Klein-Hulststraat;82;
SINT-NIKLAAS - FH02;11094611;1;BL0205;4447871;BL0205;(L/B/S)U template;Klein-Hulststraat;82;
SINT-NIKLAAS - FH02;68429;2;BL0209;68429;BL0209;BUILDING template;Klein-Hulststraat;83;
SINT-NIKLAAS - FH02;2125347;2;BL0209;68429;BL0209;(L/B/S)U template;Klein-Hulststraat;83;
SINT-NIKLAAS - FH02;3500117;1;BL0205;3500117;BL0205;BUILDING template;Klein-Hulststraat;86;
SINT-NIKLAAS - FH02;2125761;1;BL0205;3500117;BL0205;(L/B/S)U template;Klein-Hulststraat;86;
SINT-NIKLAAS - FH02;2125762;1;BL0205;3500117;BL0205;(L/B/S)U template;Klein-Hulststraat;86;
SINT-NIKLAAS - FH02;2125768;1;BL0205;3500117;BL0205;(L/B/S)U template;Klein-Hulststraat;86;
SINT-NIKLAAS - FH02;2125769;1;BL0205;3500117;BL0205;(L/B/S)U template;Klein-Hulststraat;86;
SINT-NIKLAAS - FH02;2125773;1;BL0205;3500117;BL0205;(L/B/S)U template;Klein-Hulststraat;86;
SINT-NIKLAAS - FH02;2125774;1;BL0205;3500117;BL0205;(L/B/S)U template;Klein-Hulststraat;86;
SINT-NIKLAAS - FH02;3500119;1;BL0205;3500119;BL0205;BUILDING template;Klein-Hulststraat;90;
SINT-NIKLAAS - FH02;2126821;1;BL0205;3500119;BL0205;(L/B/S)U template;Klein-Hulststraat;90;
SINT-NIKLAAS - FH02;4447875;1;BL0205;4447875;BL0205;BUILDING template;Klein-Hulststraat;92;
SINT-NIKLAAS - FH02;11094373;1;BL0205;4447875;BL0205;(L/B/S)U template;Klein-Hulststraat;92;
SINT-NIKLAAS - FH02;4447876;1;BL0205;4447876;BL0205;BUILDING template;Klein-Hulststraat;94;
SINT-NIKLAAS - FH02;11094374;1;BL0205;4447876;BL0205;(L/B/S)U template;Klein-Hulststraat;94;
SINT-NIKLAAS - FH02;4447877;1;BL0205;4447877;BL0205;BUILDING template;Klein-Hulststraat;96;
SINT-NIKLAAS - FH02;11094549;1;BL0205;4447877;BL0205;(L/B/S)U template;Klein-Hulststraat;96;
SINT-NIKLAAS - FH02;4447878;1;BL0205;4447878;BL0205;BUILDING template;Klein-Hulststraat;98;
SINT-NIKLAAS - FH02;2127812;1;BL0205;4447878;BL0205;(L/B/S)U template;Klein-Hulststraat;98;
SINT-NIKLAAS - FH02;3500123;1;BL0205;3500123;BL0205;BUILDING template;Klein-Hulststraat;100;
SINT-NIKLAAS - FH02;11094482;1;BL0205;3500123;BL0205;(L/B/S)U template;Klein-Hulststraat;100;
SINT-NIKLAAS - FH02;3500125;1;BL0205;3500125;BL0205;BUILDING template;Klein-Hulststraat;102;
SINT-NIKLAAS - FH02;2095504;1;BL0205;3500125;BL0205;(L/B/S)U template;Klein-Hulststraat;102;
