Projectnummer;Blok;LAM MK;Straat;Huisnummer;Huisnummer Toevoeging;Huisnr;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Perceel eigenschap;Building comment;Building exists;BG Name;Opdrachttemplate
ANTWERPEN-WEST - FH08;BL0009;49196;Bogaardestraat;58;;;152173;211601;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0003;1959781;Kammenstraat;52;;;152250,578;211868,56;MDU;;2;1;0;3;Y;NA;4;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0011;978242;Kronenburgstraat;65;;;152239,156;211327,705;SDU;;0;1;0;1;Y;NA;2;Beschermd Erfgoed;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0009;49202;Schoytestraat;30;;;152168;211657;MDU;;6;0;0;6;Y;NA;4;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0003;1959783;Kammenstraat;54;;;152253,82;211863,331;MDU;;3;1;0;4;Y;NA;4;Beschermd Erfgoed;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0011;978244;Kronenburgstraat;63;;;152232,581;211325,513;MDU;;2;0;0;2;Y;NA;4;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0010;5322754;Begijnenstraat;2;;;152299;211559;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0003;1959784;Kammenstraat;56;;;152256,355;211857,8;SDU;;0;1;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0011;978245;Kronenburgstraat;55;;;152200,473;211331,812;MDU;;19;3;0;22;Y;NA;4;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0010;5454728;Aalmoezenierstraat;84;;;152295;211561;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0003;1959788;Kammenstraat;62;;;152260,849;211843,167;SDU;;1;0;0;1;Y;NA;2;Beschermd Erfgoed;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0011;978269;Begijnenstraat;74;;;152237,786;211337,089;MDU;;2;0;0;2;Y;NA;4;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0011;5575852;Kronenburgstraat;47;;;152155;211329;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0003;1959790;Kammenstraat;64;;;152262,116;211839,941;SDU;;0;1;0;1;Y;NA;2;Beschermd Erfgoed;;;;BUILDING template
