Projectnummer;Blok;LAM MK;Straat;Huisnummer;Huisnummer Toevoeging;Huisnr;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Perceel eigenschap;Building comment;Building exists;Opdrachttemplate
KNOKKE-HEIST - FH06;BL0615;2765281;Paul Parmentierlaan;213;;;74568,55;227176,17;MDU;;10;0;0;10;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0606;2757718;Zeedijk-Albertstrand;549;;;74333;227293;MDU;;17;0;0;17;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0611;2765285;Paul Parmentierlaan;214;;;74605,549;227320,17;MDU;;5;0;0;5;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0613;2757723;Zeedijk-Albertstrand;552;;;74373;227309;MDU;;2;0;0;2;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0615;2765289;Paul Parmentierlaan;217;;;74569,55;227189,169;MDU;;5;0;0;5;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0613;2757724;Zeedijk-Albertstrand;556;;;74373;227309;MDU;;2;0;0;2;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0611;2765290;Paul Parmentierlaan;218;;;74606,549;227336,17;MDU;;0;3;0;3;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0613;2757725;Zeedijk-Albertstrand;557;;;74375;227319;MDU;;9;0;0;9;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0615;2765291;Paul Parmentierlaan;219;;;74569,55;227195,169;MDU;;6;0;0;6;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0613;2757730;Zeedijk-Albertstrand;562;;;74397;227329;MDU;;16;0;0;16;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0611;2765292;Paul Parmentierlaan;220;;;74607,549;227342,17;MDU;;6;0;0;6;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0613;2757732;Zeedijk-Albertstrand;563;;;74402;227329;MDU;;2;0;0;2;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0615;2765293;Paul Parmentierlaan;221;;;74570,55;227203,169;MDU;;19;0;0;19;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0613;2757733;Zeedijk-Albertstrand;564;;;74409;227324;MDU;;18;0;0;18;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0611;2765294;Paul Parmentierlaan;222;;;74608,548;227350,17;MDU;;5;0;0;5;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0613;2757737;Zeedijk-Albertstrand;566;;;74418;227329;MDU;;10;0;0;10;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0615;2765295;Paul Parmentierlaan;223;;;74570,55;227211,169;MDU;;3;0;0;3;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0613;2757741;Zeedijk-Albertstrand;570;;;74438;227338;MDU;;9;0;0;9;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0611;2765296;Paul Parmentierlaan;224;;;74623,58;227357,41;MDU;;6;0;0;6;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0613;2757748;Zeedijk-Albertstrand;574;;;74450;227344;MDU;;17;0;0;17;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0615;2765297;Paul Parmentierlaan;225;;;74571,55;227218,169;MDU;;11;0;0;11;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0608;2757756;Zeedijk-Albertstrand;583;;;74450;227405;MDU;;2;0;0;2;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0611;2765299;Paul Parmentierlaan;228;;;74609,548;227372,17;MDU;;2;1;0;3;Y;NA;4;;;;BUILDING template
