Projectnummer;Blok;LAM MK;Straat;Huisnummer;Huisnummer Toevoeging;Huisnr;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Perceel eigenschap;Building comment;Building exists;BG Name;Opdrachttemplate
KNOKKE-HEIST - FH03;BL0330;2763369;Lippenslaan;334;;;74795,548;227433,171;MDU;;6;0;0;6;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0317;320284;Zonnelaan;2;;;74195,08;227042,32;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0330;5579408;Koninginnenlaan;2;;;74819,548;227427,171;MDU;;28;1;0;29;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0322;2757992;Bayauxlaan;43;;;74540,511;227106,309;MDU;;9;0;0;9;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0329;2763370;Lippenslaan;335;;;74757,548;227371,171;MDU;;12;2;0;14;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0323;320349;Elizabetlaan;127;;;74605,11;226900,17;MDU;;43;0;0;43;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0331;5579409;Koninginnenlaan;3;;;74809,03;227473,51;MDU;;6;1;0;7;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0322;2757993;Bayauxlaan;47;;;74527,47;227116,29;MDU;;9;0;0;9;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0332;2763376;Lippenslaan;341;;;74762,22;227412,93;MDU;;6;1;0;7;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0324;5579476;Lippenslaan;205;;;74711,551;226967,171;SDU;;0;1;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0322;2757994;Bayauxlaan;49;;;74521,55;227116,169;MDU;;4;0;0;4;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0331;2763377;Lippenslaan;342;;;74803,547;227490,171;MDU;;11;2;0;13;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0326;5579477;Lippenslaan;226;;;74765,95;227103,591;SDU;;0;1;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0317;2757996;Bayauxlaan;52;;;74319,551;227084,168;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0332;2763378;Lippenslaan;343;;;74762,548;227419,171;MDU;;6;1;0;7;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0328;5579478;Lippenslaan;263;;;74732,55;227131,171;MDU;;31;4;0;35;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0317;2757997;Bayauxlaan;54;;;74306,551;227080,168;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0331;2763380;Lippenslaan;346;;;74802,547;227497,171;MDU;;6;0;0;6;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0330;5579479;Lippenslaan;338;;;74795,548;227433,171;MDU;;6;0;0;6;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0320;2758000;Bayauxlaan;59;;;74319,551;227044,168;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0332;2763386;Lippenslaan;355;;;74733,79;227454,65;MDU;;50;5;0;55;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0332;5579480;Lippenslaan;373;;;74734,89;227470,36;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0317;2758002;Bayauxlaan;62;;;74230,551;227046,167;MDU;;3;0;0;3;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0332;2763392;Lippenslaan;371;;;74758,777;227456,801;MDU;;0;2;0;2;Y;NA;4;;;;;BUILDING template
