Projectnummer;Blok;LAM MK;Straat;Huisnummer;Huisnummer Toevoeging;Huisnr;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Building comment;Opdrachttemplate
KNOKKE-HEIST - FH04;;NB-8300759c00d90;Zeedijk-Het Zoute;759;;;75574,0;227821,0;SDU;;0;1;1;2;Y;NA;9;_;BUILDING template
KNOKKE-HEIST - FH04;BL0404;337108;Swolfsstraat;6;;;75102,308;227689,55;MDU;;6;0;0;6;Y;NA;6;Review Required;BUILDING template
KNOKKE-HEIST - FH04;BL0410;2768015;Zeedijk-Het Zoute;757;A;;75560,544;227816,177;MDU;;8;1;2;11;N;ORN;9;_;BUILDING template
KNOKKE-HEIST - FH04;BL0404;337109;Swolfsstraat;10;;;75104,153;227681,747;MDU;;16;0;0;16;Y;NA;6;Review Required;BUILDING template
KNOKKE-HEIST - FH04;BL0411;2768018;Zeedijk-Het Zoute;761;;;75602,691;227829,082;SDU;;0;1;0;1;N;ORN;7;_;BUILDING template
KNOKKE-HEIST - FH04;BL0404;337110;Swolfsstraat;18;;;75118,433;227642,235;MDU;;6;0;0;6;N;IRREG;4;Review Required;BUILDING template
KNOKKE-HEIST - FH04;BL0411;2768019;Zeedijk-Het Zoute;762;;;75606,662;227830;MDU;;6;0;1;7;N;ORN;7;_;BUILDING template
KNOKKE-HEIST - FH04;;NB-8300147A5747;Kustlaan;147;A;;75540,0;227746,0;MDU;;12;0;1;13;Y;NA;7;_;BUILDING template
KNOKKE-HEIST - FH04;BL0404;337111;Marie-Josestraat;7;;;75041,545;227664,173;MDU;;10;0;0;10;Y;NA;5;Review Required;BUILDING template
KNOKKE-HEIST - FH04;BL0411;2768020;Zeedijk-Het Zoute;763;;;75613,543;227832,177;MDU;;14;0;1;15;Y;NA;6;_;BUILDING template
KNOKKE-HEIST - FH04;BL0404;337112;Marie-Josestraat;21;;;75063,652;227615,137;SDU;;1;;;1;Y;NA;2;;BUILDING template
KNOKKE-HEIST - FH04;BL0411;2768022;Zeedijk-Het Zoute;764;;;75621,976;227835,034;SDU;;0;1;1;2;Y;NA;7;_;BUILDING template
KNOKKE-HEIST - FH04;BL0403;337115;Marie-Josestraat;14;;;75034,308;227618,885;MDU;;4;0;0;4;Y;NA;4;_;BUILDING template
KNOKKE-HEIST - FH04;BL0411;2768023;Zeedijk-Het Zoute;765;;;75626,375;227837,187;MDU;;13;0;1;14;Y;NA;7;_;BUILDING template
