Projectnummer;Blok;LAM MK;Straat;Huisnummer;Huisnummer Toevoeging;Huisnr;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Perceel eigenschap;Building comment;Building exists;BG Name;Opdrachttemplate;FT Distributie;FT Distributie Opmerking
KNOKKE-HEIST - FH10;BL1027;295455;Duinendreef;10;;;72624,351;226426,632;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1004;2759033;Zeedijk-Duinbergen;404;;;72831;226754;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1002;2765429;Patriottenstraat;44;;;72517,161;226578,328;MDU;;8;0;0;8;Y;NA;4;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1041;295456;Florapad;1;;;72633,639;226335,775;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1004;2759036;Zeedijk-Duinbergen;407;;;72841;226759;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1002;2765431;Patriottenstraat;46;;;72511,78;226577,708;MDU;;7;0;0;7;Y;NA;4;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1041;295457;Florapad;7;;;72572,463;226319,313;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1005;2759043;Zeedijk-Duinbergen;418;;;72957;226808;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1002;2765432;Patriottenstraat;48;;;72507,669;226573,82;MDU;;12;0;0;12;Y;NA;4;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1039;295458;Krekelpad;6;;;72733,65;226360,63;SDU;;1;0;0;1;Y;NA;2;Beschermd Erfgoed;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1003;2759106;Duinbergenlaan;115;;;72636;226635;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1002;2765434;Patriottenstraat;50;;;72498,669;226571,343;MDU;;14;0;0;14;Y;NA;4;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1039;295459;Krekelpad;4;;;72716,07;226350,44;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1029;2759141;Duinendreef;26;;;72755;226413;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1002;2765435;Patriottenstraat;52;;;72489,526;226565,185;MDU;;14;0;0;14;Y;NA;4;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1040;295460;Krekelpad;2;;;72691,98;226339,24;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1030;2759146;Duinendreef;39;;;72915;226447;SDU;;1;0;0;1;N;MON;2;Monument;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1002;2765438;Patriottenstraat;64;;;72463,415;226550,692;MDU;;12;0;0;12;Y;NA;4;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1027;295461;Krekelpad;1;;;72682,305;226360,36;SDU;;1;0;0;1;Y;NA;2;Beschermd Erfgoed;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1038;2759148;Duinendreef;46;;;72881;226409;SDU;;1;0;0;1;N;MON;2;Monument;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1021;2765472;Petunialaan;8;;;72888,557;226543,157;MDU;;10;0;0;10;Y;NA;4;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1028;295462;Krekelpad;3;;;72704,082;226371,011;SDU;;1;0;0;1;Y;NA;2;Beschermd Erfgoed;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1038;2763461;Lommergang;3;;;72953;226403;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1021;2765476;Petunialaan;12;;;72880,703;226579,869;MDU;;4;0;0;4;Y;NA;4;Beschermd Erfgoed;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1029;295463;Oudjespad;8;;;72798,543;226357,426;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1038;2763465;Lommergang;7;;;72944;226417;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1013;2765478;Petunialaan;20;;;72885,557;226618,157;SDU;;1;0;0;1;N;MON;2;Monument;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1044;295464;Duinbergenlaan;61;;;72845,735;226314,315;SDU;;1;0;0;1;Y;NA;2;Beschermd Erfgoed;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1051;2763517;Margrietenpad;14;A;;73263;226442;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1013;2765480;Petunialaan;28;;;72920,834;226636,938;MDU;;6;0;0;6;Y;NA;4;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1044;295465;Duinbergenlaan;57;;;72843,145;226289,906;MDU;;17;0;0;17;Y;NA;4;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1003;2765414;Patriottenstraat;12;;;72615;226614;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
