Projectnummer;Blok;Straat;Huisnummer;Huisnummer Toevoeging;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Opdrachttemplate
ANTWERPEN-WEST - FH07;BL0703;Kammenstraat;12;;152192,0468;212054,1484;SDU;;0;1;0;1;Y;NA;1;BUILDING template
ANTWERPEN-WEST - FH07;BL0726;Lange Vlierstraat;8;;151965,901;211611,6205;MDU;XC;6;0;1;7;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0718;Steenbergstraat;18;;152014,1175;211645,5574;MDU;D;5;0;0;5;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0711;Lange Riddersstraat;8;;151972;211872;SDU;;1;0;0;1;Y;NA;2;BUILDING template
ANTWERPEN-WEST - FH07;BL0703;Kammenstraat;14;;152180,958;212045,9212;SDU;;0;1;0;1;Y;NA;1;BUILDING template
ANTWERPEN-WEST - FH07;BL0726;Lange Vlierstraat;10;;151967,6428;211605,121;MDU;XC;7;0;0;7;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0718;Steenbergstraat;20;;152015,2657;211640,6017;MDU;D;1;1;0;2;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0711;Sint-Andriesplaats;5;;151907;211715;SDU;;1;0;0;1;Y;NA;2;BUILDING template
ANTWERPEN-WEST - FH07;BL0703;Leeuwenstraat;15;;152141,6105;212069,2912;SDU;;1;0;0;1;N;MON;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0726;Lange Vlierstraat;12;;151972,8408;211602,9087;MDU;D;4;0;0;4;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0718;Steenbergstraat;22;;152018,9191;211638,5599;SDU;;1;0;0;1;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0711;Sint-Andriesplaats;4;;151905;211712;SDU;;1;0;0;1;Y;NA;2;BUILDING template
ANTWERPEN-WEST - FH07;BL0703;Leeuwenstraat;17;;152145,935;212064,6014;MDU;D;4;0;0;4;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0726;Lange Vlierstraat;14;;151981,0369;211597,8077;MDU;D;3;1;0;4;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0718;Steenbergstraat;24;;152015,887;211628,5328;MDU;D;2;0;0;2;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0703;Leeuwenstraat;19;;152142,3855;212059,3947;SDU;;0;1;0;1;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0726;Lange Vlierstraat;18;;151990,0372;211592,861;MDU;D;7;0;0;7;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0718;Steenbergstraat;28;;152030,0085;211629,0073;MDU;D;10;0;0;10;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0711;Kloosterstraat;69;;151824,5665;211727,3307;MDU;D;2;1;1;4;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0703;Leeuwenstraat;21;;152140,3585;212054,1484;SDU;;1;0;0;1;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0726;Lange Vlierstraat;20;;151996,2578;211590,0208;MDU;D;4;0;0;4;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0718;Steenbergstraat;34;;152031,0313;211615,6459;SDU;;0;1;0;1;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0703;Leeuwenstraat;23;;152140,6079;212051,232;MDU;D;3;1;0;4;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0726;Lange Vlierstraat;22;;152001,9378;211586,5983;MDU;D;3;0;0;3;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0718;Steenbergstraat;36;;152039,8215;211621,2963;MDU;D;5;0;0;5;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0726;Lange Vlierstraat;24;;152007,5783;211583,9809;SDU;;1;0;0;1;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0718;Steenbergstraat;38;;152043,8672;211619,2266;MDU;XC;17;0;1;18;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0714;Sint-Andriesstraat;38;;152083;211766;SDU;;1;0;0;1;Y;NA;2;BUILDING template
ANTWERPEN-WEST - FH07;BL0726;Lange Vlierstraat;26;;152012,3829;211580,8218;SDU;;0;1;0;1;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0726;Pachtstraat;1;;151946,2144;211622,9988;MDU;D;9;0;0;9;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0726;Pachtstraat;3;;151945,3546;211614,8781;MDU;D;5;0;0;5;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0726;Pachtstraat;5;;151944,7399;211609,991;MDU;D;4;0;0;4;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0726;Pachtstraat;7;;151940,986;211605,1505;MDU;D;2;1;0;3;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0726;Pachtstraat;9;;151941,9232;211598,4592;SDU;;0;1;0;1;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0726;Pachtstraat;11;;151938,4325;211593,057;MDU;D;4;0;0;4;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0719;Pachtstraat;2;;151913,4474;211628,7;MDU;XC;8;0;2;10;N;ORN;5;BUILDING template
