;ZONE_NAME;ZONING_TCHNLGY;MAINLAMKEY;POSTAL_CODE;CITY_NAME;STREET_NAME;HOUSE_NUMBER;DTP;FIC;FIS;FTS;OpdrachtID;Projectnummer;Opdrachtnummer;BG_Name;Blok;Straat;Huisnummer;Huisnummer_Toevoeging;Buildingtype;Quadrant;NR_BU;NR_LU;NR_SU;UNITS_TOTAL;Opdrachttemplate
75930;W01-C-Charleroi-FH03;FTTH-Cu;464203;6000.0;Charleroi;Rue de Montigny;59;;;1.0;;36881.0;CHARLEROI - FH03;464203;59 rue de Montigny, 6000 Charleroi;13;Rue de Montigny;59;;SDU;;;1;1;;BUILDING template
75935;W01-C-Charleroi-FH03;FTTH-Cu;464210;6000.0;Charleroi;Rue de Montigny;49;;1.0;1.0;1.0;36876.0;CHARLEROI - FH03;464210;Prunieau 2 - Montigny 49;13;Rue de Montigny;49;;SDU;A;1;;3;;BUILDING template
75937;W01-C-Charleroi-FH03;FTTH-Cu;464212;6000.0;Charleroi;Rue de Montigny;33;;;1.0;;36764.0;CHARLEROI - FH03;464212;;09;Rue de Montigny;33;;SDU;;1;0;1;;BUILDING template
75948;W01-C-Charleroi-FH03;FTTH-Cu;5066995;6000.0;Charleroi;Rue de la Montagne(Charleroi);15;;;1.0;;36824.0;CHARLEROI - FH03;5066995;;10;Rue de la Montagne;15;;SDU;;1;;1;;BUILDING template
75953;W01-C-Charleroi-FH03;FTTH-Cu;5068403;6000.0;Charleroi;Rue de Dampremy (Charleroi);47;;;1.0;;36585.0;CHARLEROI - FH03;5068403;47-45 rue de dampremy;02;Rue de Dampremy;47;;SDU;;1;;1;;BUILDING template
75956;W01-C-Charleroi-FH03;FTTH-Cu;5070984;6000.0;Charleroi;Rue de Dampremy (Charleroi);64;;;1.0;;36722.0;CHARLEROI - FH03;5070984;64 rue de dampremy;08;Rue de Dampremy;64;;SDU;;1;;2;;BUILDING template
142742;W01-C-Namur-FH06;FTTH-Cu;1119927;5000.0;Namur;Rue J. Grafé(NR);10;;1.0;1.0;1.0;59430.0;NAMUR - FH06;1119927;10 Rue Joseph GrafÃ© - 37 Rue Grandgagnage 5000 Namur;0626;Rue J. Grafe;10;;SDU;;1;0;0;1.0;BUILDING template
142745;W01-C-Namur-FH06;FTTH-Cu;1119930;5000.0;Namur;Rue de l'Arsenal(NR);14;;;1.0;;60377.0;NAMUR - FH06;1119930;;0623;Rue de lArsenal;14;;SDU;;1;0;2;3.0;BUILDING template
142750;W01-C-Namur-FH06;FTTH-Cu;1119937;5000.0;Namur;Rue Blondeau;5;;1.0;1.0;1.0;58514.0;NAMUR - FH06;1119937;5 Rue Blondeau 5000 Namur;0625;Rue Blondeau;5;;SDU;;0;1;0;1.0;BUILDING template
142770;W01-C-Namur-FH06;FTTH-Cu;1119962;5000.0;Namur;Rue de l'Evêché(NR);12;;;1.0;;60346.0;NAMUR - FH06;1119962;12 Rue de l'EvÃªchÃ© 5000 Namur;0622;Rue de lEveche;12;;SDU;;1;0;1;2.0;BUILDING template
142772;W01-C-Namur-FH06;FTTH-Cu;1119964;5000.0;Namur;Rue de l'Evêché(NR);8;;;1.0;;60344.0;NAMUR - FH06;1119964;6 Rue de l'EvÃ©chÃ© 4000 LiÃ¨ge;0622;Rue de lEveche;8;;SDU;;0;1;0;1.0;BUILDING template
142776;W01-C-Namur-FH06;FTTH-Cu;1121110;5000.0;Namur;Rue de l'Ange;2;;;1.0;;60389.0;NAMUR - FH06;1121110;2 rue de l'ange ( Future Agence BNP PARIBAS );06;Rue de lAnge;2;;SDU;;1;0;1;2.0;BUILDING template
142793;W01-C-Namur-FH06;FTTH-Cu;1121131;5000.0;Namur;Rue des Echasseurs;2;;1.0;1.0;1.0;62220.0;NAMUR - FH06;1121131;;10;Rue des Echasseurs;2;;SDU;;1;0;0;1.0;BUILDING template
142796;W01-C-Namur-FH06;FTTH-Cu;1121137;5000.0;Namur;Rue du Pont(NR);8;;;1.0;;61317.0;NAMUR - FH06;1121137;;07;Rue du Pont;8;;SDU;;1;0;1;2.0;BUILDING template
142798;W01-C-Namur-FH06;FTTH-Cu;1121140;5000.0;Namur;Rue de Marchovelette(NR);1;;;1.0;;61286.0;NAMUR - FH06;1121140;1 Rue de Marchovelette 5000 Namur (Belfius Bank);07;Rue de Marchovelette;1;;SDU;;1;0;1;2.0;BUILDING template
