Projectnummer;Opdrachtnummer;Building FID;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;TSA SENT;TSA SIGNED;TSA NEEDED;Afronding handtekening;Meetstaat;Verzonden Offerte;SNS FIS Date;SNS FTS Date;Opdrachttemplate
EVERE - FH01;1620537;967250;;Begeertenlaan - Avenue des Désirs;24;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;726788;971448;;Oud-Strijderslaan - Avenue des Anciens Combattants;39;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;1623853;970084;;Kerkhof van Brussellaan - Avenue du Cimetière de Bruxelles;71;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;1624366;970479;;Twee Huizenstraat - Rue des Deux Maisons;64;;;;;N;;N;;;;BUILDING template
EVERE - FH01;724811;971224;;Jules Bordetlaan - Avenue Jules Bordet;160;;A;2019-09-18;2019-10-01;Y;;N;;;;BUILDING template
EVERE - FH01;1622761;969156;;Constant Permekelaan - Avenue Constant Permeke;69;;;;;N;;N;;;;BUILDING template
EVERE - FH01;5612072;5620968;;Clos des Compagnons Bâtisseurs - Bouwgezellenerf;13;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1620904;967573;;Leuvensesteenweg - Chaussée de Louvain;920;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;1620538;967251;;Begeertenlaan - Avenue des Désirs;25;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;1623961;970162;;Oud-Strijderslaan - Avenue des Anciens Combattants;41;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;1623854;970085;;Kerkhof van Brussellaan - Avenue du Cimetière de Bruxelles;73;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1624367;970480;;Twee Huizenstraat - Rue des Deux Maisons;66;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1120030;5620833;;Avenue Henry Dunant - Henry Dunantlaan;56;;A;2019-09-30;2019-12-16;Y;;N;;;;BUILDING template
EVERE - FH01;1623628;969899;;Jules Bordetlaan - Avenue Jules Bordet;162;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1622762;969157;;Constant Permekelaan - Avenue Constant Permeke;71;;;;;N;;N;;;;BUILDING template
EVERE - FH01;5479264;5620933;;Clos des Compagnons Bâtisseurs - Bouwgezellenerf;14;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1620905;967574;;Leuvensesteenweg - Chaussée de Louvain;922;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;1620539;967252;;Begeertenlaan - Avenue des Désirs;26;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;726782;971442;;Oud-Strijderslaan - Avenue des Anciens Combattants;43;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;725368;971243;;Kerkhof van Brussellaan - Avenue du Cimetière de Bruxelles;75;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;4119467;970879;;Twee Huizenstraat - Rue des Deux Maisons;68;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;1120031;5620834;;Avenue Henry Dunant - Henry Dunantlaan;66;;A;2019-10-07;2019-10-23;Y;;Y;2019-11-06;;;BUILDING template
EVERE - FH01;724812;971225;;Jules Bordetlaan - Avenue Jules Bordet;164;;XC;2019-12-13;;Y;;Y;;;;BUILDING template
EVERE - FH01;4114988;970839;;Constant Permekelaan - Avenue Constant Permeke;73;;;;;N;;N;;;;BUILDING template
EVERE - FH01;5479265;5620934;;Clos des Compagnons Bâtisseurs - Bouwgezellenerf;16;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1620907;967576;;Leuvensesteenweg - Chaussée de Louvain;924;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;1620540;967253;;Begeertenlaan - Avenue des Désirs;27;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;1623959;970161;;Oud-Strijderslaan - Avenue des Anciens Combattants;37;B;D;;;N;;N;;;;BUILDING template
EVERE - FH01;1623855;970086;;Kerkhof van Brussellaan - Avenue du Cimetière de Bruxelles;77;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1624368;970481;;Twee Huizenstraat - Rue des Deux Maisons;70;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1623988;5620867;;Avenue des Anciens Combattants - Oud-Strijderslaan;82;;XA;2020-01-13;;Y;;Y;;;;BUILDING template
EVERE - FH01;724810;971223;;Jules Bordetlaan - Avenue Jules Bordet;166;;A;2019-09-18;2019-10-23;Y;;N;;;;BUILDING template
EVERE - FH01;1622763;969158;;Constant Permekelaan - Avenue Constant Permeke;75;;;;;N;;N;;;;BUILDING template
EVERE - FH01;5700478;5620979;;Clos des Compagnons Bâtisseurs - Bouwgezellenerf;17;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1620908;967577;;Leuvensesteenweg - Chaussée de Louvain;926;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;726874;971473;;Begeertenlaan - Avenue des Désirs;28;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;726789;971449;;Oud-Strijderslaan - Avenue des Anciens Combattants;37;C;D;;;N;;N;;;;BUILDING template
EVERE - FH01;1623857;970087;;Kerkhof van Brussellaan - Avenue du Cimetière de Bruxelles;81;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;1624369;970482;;Twee Huizenstraat - Rue des Deux Maisons;72;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1622764;969159;;Constant Permekelaan - Avenue Constant Permeke;77;;;;;N;;N;;;;BUILDING template
EVERE - FH01;5722558;5620981;;Clos des Compagnons Bâtisseurs - Bouwgezellenerf;18;;;;;N;;N;;;;BUILDING template
EVERE - FH01;1620910;967579;;Leuvensesteenweg - Chaussée de Louvain;928;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;726867;971466;;Begeertenlaan - Avenue des Désirs;29;;D;;;N;;N;;;;BUILDING template
