Projectnummer;Opdrachtnummer;Building FID;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;TSA SENT;TSA SIGNED;TSA NEEDED;Afronding handtekening;Meetstaat;Verzonden Offerte;SNS FIS Date;SNS FTS Date;Opdrachttemplate
HASSELT - FH04;4888911;398019;;Lazarijstraat;69;;;;;;;N;;;;BUILDING template
HASSELT - FH04;701152;401875;;Plantenstraat;42;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4888642;397993;;Ambachtsschoolstraat;56;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4888984;398025;;Kuringersteenweg;13;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2425265;387250;;Lazarijstraat;71;;;;;;;N;;;;BUILDING template
HASSELT - FH04;701155;10522540;;Plantenstraat;44;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2408102;381807;;Ambachtsschoolstraat;58;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2423713;386899;;Kuringersteenweg;14;;D;;;N;2019-10-15;N;;;;BUILDING template
HASSELT - FH04;2425266;387251;;Lazarijstraat;72;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2434219;10522477;;Plantenstraat;47;;D;;;N;2019-09-26;N;;;;BUILDING template
HASSELT - FH04;4253694;396095;Ambachtsschoolstraat 5-5A-7-9;Ambachtsschoolstraat;5;A;B;;;Y;;N;;;;BUILDING template
HASSELT - FH04;2423714;386900;;Kuringersteenweg;15;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2425268;387252;;Lazarijstraat;73;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2434222;389235;;Plantenstraat;49;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2408103;381808;;Ambachtsschoolstraat;60;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2423715;386901;;Kuringersteenweg;16;;C;;;Y;2019-10-15;N;;;;BUILDING template
