Projectnummer;Opdrachtnummer;Building FID;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;TSA SENT;TSA SIGNED;TSA NEEDED;Afronding handtekening;Meetstaat;Verzonden Offerte;SNS FIS Date;SNS FTS Date;Opdrachttemplate
ANTWERPEN-WEST - FH01;2059541;7093688;;Verbindingsdok-Oostkaai;3;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;108939;11196600;;Kattendijkdok-Oostkaai;5;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;4505471;706161;;Kattendijkdok-Oostkaai;16;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;5508518;7093717;;Verbindingsdok-Oostkaai;23;;X;;;Y;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;6463255;14363348;;Catharina Pepijnstraat;3;A;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;108936;612636;;Kattendijkdok-Oostkaai;17;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;5507311;7093715;;Verbindingsdok-Oostkaai;29;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;2059552;7093689;;Verbindingsdok-Westkaai;12;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1128037;613768;;Kattendijkdok-Westkaai;16;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;2059556;7093690;;Verbindingsdok-Westkaai;18;;XA;2019-10-02;;Y;;Y;;;;BUILDING template
ANTWERPEN-WEST - FH01;1960580;652212;;Kattendijkdok-Westkaai;25;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1128020;7093632;;Verbindingsdok-Westkaai;24;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1960582;652214;;Kattendijkdok-Westkaai;27;;C;2019-09-27;2019-09-27;Y;;Y;2020-02-10;;;BUILDING template
ANTWERPEN-WEST - FH01;62435;7093732;;Zeevaartstraat;1;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1960583;652215;;Kattendijkdok-Westkaai;28;;D;2020-01-24;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;5576453;7093720;;Zeevaartstraat;2;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1960584;652216;;Kattendijkdok-Westkaai;29;;A;2019-10-23;2019-12-18;Y;;Y;2020-02-10;;;BUILDING template
ANTWERPEN-WEST - FH01;62434;7093731;;Zeevaartstraat;3;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1960586;652217;Kattendijkdok-Westkaai 31-32-32A;Kattendijkdok-Westkaai;31;;A;;;Y;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1960587;652218;Kattendijkdok-Westkaai 31-32-32A;Kattendijkdok-Westkaai;32;;A;;;Y;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;11985;614583;;Kattendijkdok-Westkaai;33;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1960880;652433;;Kempischdok-Westkaai;6;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1960881;652434;;Kempischdok-Westkaai;8;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;4048873;692749;;Kempischdok-Westkaai;10;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1960882;652435;;Kempischdok-Westkaai;12;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;5507310;11196601;;Verbindingsdok-Oostkaai;27;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;4505465;706158;Kempischdok-Westkaai 14-20;Kempischdok-Westkaai;14;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1960897;652443;;Kempischdok-Westkaai;100;;XA;2019-09-20;;Y;;Y;2019-10-07;;;BUILDING template
ANTWERPEN-WEST - FH01;5507309;11196602;;Verbindingsdok-Oostkaai;21;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;108288;612469;;Kempischdok-Westkaai;26;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1960886;652436;;Kempischdok-Westkaai;30;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1755772;11196715;;Bordeauxstraat;7;B;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;6198471;11196604;;Sint-Aldegondiskaai;2;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1960887;652437;;Kempischdok-Westkaai;32;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1960888;652438;;Kempischdok-Westkaai;34;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1128032;11196716;;Londenstraat;30;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;108785;612563;Kribbestraat 2-4;Kribbestraat;2;;A;;;Y;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;4513307;707389;;Sint-Aldegondiskaai;24;;;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;4506388;706475;;Kempischdok-Westkaai;36;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1970926;654488;;Kribbestraat;3;;A;2019-09-23;2019-12-19;Y;;Y;2019-10-07;;;BUILDING template
ANTWERPEN-WEST - FH01;3962176;11196605;Sint-Aldegondiskaai 36-38-40-42_Adriaan Brouwersstraat 21-27;Sint-Aldegondiskaai;38;;XA;;;Y;;Y;;;;BUILDING template
ANTWERPEN-WEST - FH01;108287;612468;;Kempischdok-Westkaai;38;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1970943;654489;Kribbestraat 6-8;Kribbestraat;6;;XA;2019-09-26;;Y;;Y;2019-10-07;;;BUILDING template
ANTWERPEN-WEST - FH01;6242346;11196606;Sint-Aldegondiskaai 36-38-40-42_Adriaan Brouwersstraat 21-27;Sint-Aldegondiskaai;42;;XA;;;Y;;Y;;;;BUILDING template
ANTWERPEN-WEST - FH01;108284;612467;;Kempischdok-Westkaai;74;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1970933;11196717;Kribbestraat 2-4;Kribbestraat;4;;XA;;;Y;;Y;;;;BUILDING template
ANTWERPEN-WEST - FH01;1970946;654490;Kribbestraat 6-8;Kribbestraat;8;;XA;2019-09-26;;Y;;Y;2019-10-07;;;BUILDING template
ANTWERPEN-WEST - FH01;62432;11196607;;Oudeleeuwenrui;1;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1960890;652439;;Kempischdok-Westkaai;76;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1970954;654491;;Kribbestraat;10;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1960891;652440;;Kempischdok-Westkaai;78;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;186506;641328;;Kribbestraat;12;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1986483;11196608;;Oudeleeuwenrui;21;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1960892;652441;;Kempischdok-Westkaai;80;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1970973;654492;;Kribbestraat;13;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1960893;652442;;Kempischdok-Westkaai;82;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;5804911;11292866;Kattendijkdok Westkaai 51-54-56;Kattendijkdok-Westkaai;56;;A;2019-10-14;2019-10-22;Y;;Y;2019-10-04;;;BUILDING template
ANTWERPEN-WEST - FH01;4506128;706407;;Kribbestraat;14;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;62436;13318876;;Zeevaartstraat;4;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1986500;11196609;;Oudeleeuwenrui;27;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;4016605;692176;;Kempischdok-Westkaai;98;;;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1970980;654493;;Kribbestraat;15;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;108273;12925254;August Michielsstraat 26_Londenstraat 39_Napelsstraat 63-65-67;August Michielsstraat;26;;A;2019-09-23;2020-02-10;Y;;Y;2019-10-07;;;BUILDING template
ANTWERPEN-WEST - FH01;1986523;11196610;;Oudeleeuwenrui;37;A;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;4505630;11196720;;Nassaustraat;41;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;108782;612561;;Kribbestraat;24;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;108276;13318859;;August Michielsstraat;2;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1088925;11196611;;Oudeleeuwenrui;39;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;108306;612482;;Londenstraat;1;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;108282;13318872;;Kempischdok-Westkaai;92;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;2066334;11196612;;Zeevaartstraat;10;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;109143;612774;;Londenstraat;2;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;108941;12919762;;Indiestraat;22;;XC;;;Y;;Y;;;;BUILDING template
ANTWERPEN-WEST - FH01;1992574;11196721;;Londenstraat;53;A;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;109146;612775;;Londenstraat;4;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1933982;13318871;;Hanzestedenplaats;3;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;4510623;11196613;;Ankerrui;1;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1992477;659305;;Londenstraat;5;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;2066333;13318877;;Zeevaartstraat;8;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;62445;11196614;;Ankerrui;3;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1992481;659306;;Londenstraat;6;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;4004297;7093696;;Rijnkaai;33;;XA;;;Y;;Y;2019-10-04;;;BUILDING template
ANTWERPEN-WEST - FH01;1735144;11196615;;Ankerrui;7;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1992482;659307;;Catharina Pepijnstraat;7;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;6419169;13318870;Rijnkaai 1-2-4_Braziliestraat 2C-2D-2E;Braziliestraat;2;D;C;;;Y;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;5575022;11196616;Ankerrui 11-13;Ankerrui;13;;A;2019-09-20;2019-09-20;Y;;Y;2020-02-10;;;BUILDING template
ANTWERPEN-WEST - FH01;52549;11196722;Amsterdamstraat 21_Braziliestraat 43;Braziliestraat;43;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1992485;659308;;Londenstraat;8;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;6419634;13318869;Rijnkaai 1-2-4_Braziliestraat 2C-2D-2E;Braziliestraat;2;C;C;;;Y;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;2028886;11196617;Noorderplaats 5-7-9;Noorderplaats;5;;A;2019-10-10;2019-10-15;Y;;Y;2019-10-20;;;BUILDING template
ANTWERPEN-WEST - FH01;1992488;659309;;Londenstraat;10;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;4128344;11196618;Noorderplaats 5-7-9;Noorderplaats;7;;A;2019-10-10;2019-10-15;Y;;Y;2019-10-20;;;BUILDING template
ANTWERPEN-WEST - FH01;4511917;11196749;;Braziliestraat;39;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1506186;619287;;Catharina Pepijnstraat;11;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1992495;659310;;Londenstraat;16;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;4511993;11196750;;Braziliestraat;36;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;109147;612776;;Londenstraat;18;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;108796;612574;;Londenstraat;20;;;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1992511;659312;;Londenstraat;23;;D;;;N;;N;;;;BUILDING template
