Projectnummer;Opdrachtnummer;Building FID;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;TSA SENT;TSA SIGNED;TSA NEEDED;Afronding handtekening;Meetstaat;Verzonden Offerte;SNS FIS Date;SNS FTS Date;Opdrachttemplate
KNOKKE - FH01;2765501;8502330;;Piers de Raveschootlaan;19;;XC;;;Y;;Y;2019-09-26;2019-10-01;;BUILDING template
KNOKKE - FH01;2762953;13436927;;Lippenslaan;17;;A;;;N;;N;;2019-10-29;;BUILDING template
KNOKKE - FH01;2763102;26078486;Lippenslaan 117-119-121;Lippenslaan;117;;XA;;;Y;;Y;2019-09-04;2020-03-11;;BUILDING template
KNOKKE - FH01;333083;8502415;;Cassiersstraat;20;;D;;;N;;N;;2019-09-26;;BUILDING template
KNOKKE - FH01;2763100;8502233;;Lippenslaan;116;;A;2019-09-07;2019-10-19;Y;;Y;2019-09-13;2019-09-26;2019-10-22;BUILDING template
KNOKKE - FH01;1370045;8502019;;Piers de Raveschootlaan;21;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2762980;13436936;;Lippenslaan;37;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;6624740;27509804;;Piers de Raveschootlaan;40;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2758618;8502100;;Cassiersstraat;22;;D;;;N;;N;;2020-02-10;;BUILDING template
KNOKKE - FH01;4080285;8502545;;Lippenslaan;118;;A;2019-09-12;2019-09-28;Y;;Y;2019-09-13;2019-09-26;2019-10-01;BUILDING template
KNOKKE - FH01;2765504;8502332;;Piers de Raveschootlaan;22;;D;;;N;;N;;2019-10-29;;BUILDING template
KNOKKE - FH01;2763015;13436966;;Lippenslaan;61;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;333481;8504315;;Edward Verheyestraat;1;;C;2020-01-01;2020-01-18;Y;;Y;2019-09-04;2019-09-17;2020-01-28;BUILDING template
KNOKKE - FH01;2763103;8502235;Lippenslaan 117-119-121;Lippenslaan;119;;XA;;;Y;;Y;2019-09-04;2020-03-11;;BUILDING template
KNOKKE - FH01;2765510;8502333;;Piers de Raveschootlaan;27;;D;;;N;;N;;2019-10-01;;BUILDING template
KNOKKE - FH01;2763035;13436969;;Lippenslaan;74;;;;;N;;N;;;;BUILDING template
KNOKKE - FH01;2767107;8503752;;Edward Verheyestraat;3;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2763105;8502236;;Lippenslaan;120;;XA;2019-08-06;;Y;;Y;2019-09-18;2019-09-17;;BUILDING template
KNOKKE - FH01;2765512;8502334;;Piers de Raveschootlaan;28;;D;;;N;;N;;2019-10-29;;BUILDING template
KNOKKE - FH01;2763107;13436944;Lippenslaan 117-119-121;Lippenslaan;121;;XA;;;Y;;Y;2019-09-04;2020-03-11;;BUILDING template
KNOKKE - FH01;333478;8504313;;Edward Verheyestraat;13;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2763108;8502237;;Lippenslaan;122;;A;2019-09-09;2019-09-19;Y;;Y;2019-09-13;2019-09-26;2019-09-26;BUILDING template
KNOKKE - FH01;2765513;8502335;;Piers de Raveschootlaan;29;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2763153;13436930;;Lippenslaan;159;;A;2019-10-01;2019-10-05;Y;;Y;2020-10-01;2019-10-01;2020-01-28;BUILDING template
KNOKKE - FH01;2767121;8503758;;Edward Verheyestraat;17;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;320686;8502399;;Lippenslaan;123;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2765514;8502336;;Piers de Raveschootlaan;30;;D;;;N;;N;;2019-10-29;;BUILDING template
KNOKKE - FH01;2763159;13436945;;Lippenslaan;161;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2767123;8503759;;Edward Verheyestraat;19;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2763112;8502238;;Lippenslaan;124;;A;2019-09-09;2019-10-24;Y;;Y;2019-09-13;2019-09-26;2019-10-29;BUILDING template
KNOKKE - FH01;338492;8502523;;Piers de Raveschootlaan;31;;D;;;N;;N;;2019-10-01;;BUILDING template
KNOKKE - FH01;2763964;13436938;;Natienlaan;75;B;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2767125;8503760;;Edward Verheyestraat;21;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2763114;8502239;;Lippenslaan;126;;;;;N;;N;;;;BUILDING template
KNOKKE - FH01;2765517;8502337;;Piers de Raveschootlaan;39;;D;;;N;;N;;2019-10-01;;BUILDING template
KNOKKE - FH01;333476;8504312;;Edward Verheyestraat;23;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;338422;8502519;;Lippenslaan;128;;A;2019-08-23;2019-10-17;Y;;N;;2019-09-17;2019-10-22;BUILDING template
KNOKKE - FH01;333266;8502455;;Piers de Raveschootlaan;41;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2765506;13436932;;Piers de Raveschootlaan;24;;D;;;N;;N;;2019-10-29;;BUILDING template
KNOKKE - FH01;84725;8504745;;Edward Verheyestraat;25;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;1448549;8502022;;Lippenslaan;129;;;;;N;;N;;;;BUILDING template
KNOKKE - FH01;5707137;8502619;;Piers de Raveschootlaan;41;A;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2765515;13436951;;Piers de Raveschootlaan;33;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;4243993;8504485;;Edward Verheyestraat;27;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;338420;8502518;;Lippenslaan;130;;A;2019-09-09;2019-10-15;Y;;Y;2019-09-13;2019-09-26;2019-10-22;BUILDING template
KNOKKE - FH01;2765518;8502338;;Piers de Raveschootlaan;42;;D;;;N;;N;;2019-10-29;;BUILDING template
KNOKKE - FH01;2765522;13436952;;Piers de Raveschootlaan;44;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;4215144;8504477;;Edward Verheyestraat;29;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2763117;8502240;;Lippenslaan;132;;XA;2019-08-02;;Y;;Y;2019-09-13;2019-10-29;;BUILDING template
KNOKKE - FH01;333269;8502457;;Piers de Raveschootlaan;43;;D;;;N;;Y;2019-10-09;2019-10-01;;BUILDING template
KNOKKE - FH01;2765555;13436954;;Piers de Raveschootlaan;77;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;4204699;8504473;;Edward Verheyestraat;31;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;239618;8502042;;Lippenslaan;133;;;;;N;;N;;;;BUILDING template
KNOKKE - FH01;333271;8502459;;Piers de Raveschootlaan;43;A;XC;;;Y;;Y;2019-10-09;2019-10-29;;BUILDING template
KNOKKE - FH01;2766219;13436978;Sebastiaan Nachtegaelestraat 2_Smedenstraat 1;Smedenstraat;1;;A;2020-10-29;2019-10-29;Y;;Y;2019-08-12;2020-03-11;2020-03-25;BUILDING template
KNOKKE - FH01;320994;14364847;;Lippenslaan;106;;;;;;;N;;;;BUILDING template
