Projectnummer;LAM MK;LU Key;Opdrachttemplate;Quadrant;Straat;Huisnummer;Huisnummer Toevoeging;Prov Status;Prov Reason;Prov Status LU;Prov Reason LU
KNOKKE-HEIST - FH09;2756860;2756860;BUILDING template;XA;Zeedijk-Heist;239;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756872;2756872;BUILDING template;XA;Zeedijk-Heist;248;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756875;2756875;BUILDING template;XA;Zeedijk-Heist;252;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756880;2756880;BUILDING template;XA;Zeedijk-Heist;256;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756887;2756887;BUILDING template;XA;Zeedijk-Heist;264;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;4337347;4337347;BUILDING template;XA;Zeedijk-Heist;268;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756903;2756903;BUILDING template;XA;Zeedijk-Heist;287;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;297130;297130;BUILDING template;XA;Zeedijk-Heist;291;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756911;2756911;BUILDING template;XA;Zeedijk-Heist;297;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;290627;290627;BUILDING template;XA;Zeedijk-Heist;165;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;292670;292670;BUILDING template;XA;Zeedijk-Heist;64;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;302675;302675;BUILDING template;XA;Zeedijk-Heist;290;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756741;2756741;BUILDING template;XA;Zeedijk-Heist;100;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756777;2756777;BUILDING template;XA;Zeedijk-Heist;142;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;5564757;5564757;BUILDING template;XA;Elizabetlaan;391;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2759158;2759158;BUILDING template;XA;Duinenstraat;10;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2764985;2764985;BUILDING template;XA;Louis Parentstraat;3;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756716;2756716;BUILDING template;XA;Zeedijk-Heist;72;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;292679;292679;BUILDING template;XA;Zeedijk-Heist;106;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756719;2756719;BUILDING template;XA;Zeedijk-Heist;75;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756728;2756728;BUILDING template;XA;Zeedijk-Heist;87;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756750;2756750;BUILDING template;XA;Zeedijk-Heist;108;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756783;2756783;BUILDING template;XA;Zeedijk-Heist;150;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756784;2756784;BUILDING template;XA;Zeedijk-Heist;151;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756785;2756785;BUILDING template;XA;Zeedijk-Heist;152;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756801;2756801;BUILDING template;XA;Zeedijk-Heist;170;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756807;2756807;BUILDING template;XA;Zeedijk-Heist;175;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756808;2756808;BUILDING template;XA;Zeedijk-Heist;176;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756839;2756839;BUILDING template;XA;Zeedijk-Heist;205;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756867;2756867;BUILDING template;XA;Zeedijk-Heist;244;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756723;2756723;BUILDING template;XA;Zeedijk-Heist;81;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756731;2756731;BUILDING template;XA;Zeedijk-Heist;90;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756760;2756760;BUILDING template;XA;Zeedijk-Heist;120;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756798;2756798;BUILDING template;XA;Zeedijk-Heist;167;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756858;2756858;BUILDING template;XA;Zeedijk-Heist;236;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;3996512;3996512;BUILDING template;XA;Zeedijk-Heist;210;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756739;2756739;BUILDING template;XA;Zeedijk-Heist;99;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756806;2756806;BUILDING template;XA;Zeedijk-Heist;174;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756809;2756809;BUILDING template;XA;Zeedijk-Heist;178;;B;BOWN;B;BOWN
KNOKKE-HEIST - FH09;2756813;2756813;BUILDING template;XA;Zeedijk-Heist;181;;B;BOWN;B;BOWN
