Projectnummer;LAM MK;LU Key;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;Prov Status;Prov Reason;Prov Status LU;Prov Reason LU
ANTWERPEN-WEST - FH01;62439;10377341;(L/B/S)U template;Godefriduskaai;18;;;;;
ANTWERPEN-WEST - FH01;62439;10417038;(L/B/S)U template;Godefriduskaai;18;;;;;
ANTWERPEN-WEST - FH01;62440;10410502;(L/B/S)U template;Godefriduskaai;36;;;;;
ANTWERPEN-WEST - FH01;62441;11076558;(L/B/S)U template;Godefriduskaai;38;;;;;
ANTWERPEN-WEST - FH01;62442;1751692;(L/B/S)U template;Godefriduskaai;32;;;;;
ANTWERPEN-WEST - FH01;62442;11077167;(L/B/S)U template;Godefriduskaai;32;;;;;
ANTWERPEN-WEST - FH01;62442;11077168;(L/B/S)U template;Godefriduskaai;32;;;;;
ANTWERPEN-WEST - FH01;62442;11184269;(L/B/S)U template;Godefriduskaai;32;;;;;
ANTWERPEN-WEST - FH01;62443;1638218;(L/B/S)U template;Godefriduskaai;12;;;;;
ANTWERPEN-WEST - FH01;62443;1638259;(L/B/S)U template;Godefriduskaai;12;;;;;
ANTWERPEN-WEST - FH01;62443;10410765;(L/B/S)U template;Godefriduskaai;12;;;;;
ANTWERPEN-WEST - FH01;62443;10410783;(L/B/S)U template;Godefriduskaai;12;;;;;
ANTWERPEN-WEST - FH01;62443;10410799;(L/B/S)U template;Godefriduskaai;12;;;;;
ANTWERPEN-WEST - FH01;62443;10410809;(L/B/S)U template;Godefriduskaai;12;;;;;
ANTWERPEN-WEST - FH01;62443;10410918;(L/B/S)U template;Godefriduskaai;12;;;;;
ANTWERPEN-WEST - FH01;62444;1706811;(L/B/S)U template;Godefriduskaai;22;;;;;
ANTWERPEN-WEST - FH01;62445;11076369;(L/B/S)U template;Ankerrui;3;;;;;
ANTWERPEN-WEST - FH01;62446;1630486;(L/B/S)U template;Ankerrui;11;;;;;
ANTWERPEN-WEST - FH01;108063;1785472;(L/B/S)U template;Nassaustraat;43;;;;;
ANTWERPEN-WEST - FH01;108063;1785473;(L/B/S)U template;Nassaustraat;43;;;;;
ANTWERPEN-WEST - FH01;108063;11077570;(L/B/S)U template;Nassaustraat;43;;;;;
ANTWERPEN-WEST - FH01;108064;1767837;(L/B/S)U template;Nassaustraat;38;;;;;
ANTWERPEN-WEST - FH01;108064;1767838;(L/B/S)U template;Nassaustraat;38;;;;;
ANTWERPEN-WEST - FH01;108064;1767839;(L/B/S)U template;Nassaustraat;38;;;;;
ANTWERPEN-WEST - FH01;108064;11077569;(L/B/S)U template;Nassaustraat;38;;;;;
ANTWERPEN-WEST - FH01;108065;1716081;(L/B/S)U template;Nassaustraat;24;;;;;
ANTWERPEN-WEST - FH01;108065;11077554;(L/B/S)U template;Nassaustraat;24;;;;;
ANTWERPEN-WEST - FH01;108065;11077555;(L/B/S)U template;Nassaustraat;24;;;;;
ANTWERPEN-WEST - FH01;108065;11077556;(L/B/S)U template;Nassaustraat;24;;;;;
ANTWERPEN-WEST - FH01;108065;11077557;(L/B/S)U template;Nassaustraat;24;;;;;
ANTWERPEN-WEST - FH01;108065;11077558;(L/B/S)U template;Nassaustraat;24;;;;;
ANTWERPEN-WEST - FH01;108065;11077559;(L/B/S)U template;Nassaustraat;24;;;;;
ANTWERPEN-WEST - FH01;108065;11077560;(L/B/S)U template;Nassaustraat;24;;;;;
ANTWERPEN-WEST - FH01;108065;11077561;(L/B/S)U template;Nassaustraat;24;;;;;
ANTWERPEN-WEST - FH01;108065;11184334;(L/B/S)U template;Nassaustraat;24;;;;;
ANTWERPEN-WEST - FH01;108067;1610595;(L/B/S)U template;Nassaustraat;1;;B;BOWN;B;BOWN
ANTWERPEN-WEST - FH01;108067;1611210;(L/B/S)U template;Nassaustraat;1;;B;BOWN;B;BOWN
ANTWERPEN-WEST - FH01;108067;1611994;(L/B/S)U template;Nassaustraat;1;;B;BOWN;B;BOWN
ANTWERPEN-WEST - FH01;108067;1612182;(L/B/S)U template;Nassaustraat;1;;B;BOWN;B;BOWN
ANTWERPEN-WEST - FH01;108067;1613044;(L/B/S)U template;Nassaustraat;1;;B;BOWN;B;BOWN
ANTWERPEN-WEST - FH01;108067;10411413;(L/B/S)U template;Nassaustraat;1;;B;BOWN;B;BOWN
ANTWERPEN-WEST - FH01;108068;11076673;(L/B/S)U template;Verbindingsdok-Westkaai;30;;;;;
ANTWERPEN-WEST - FH01;108069;1693412;(L/B/S)U template;Verbindingsdok-Westkaai;2;;;;;
ANTWERPEN-WEST - FH01;108069;1693413;(L/B/S)U template;Verbindingsdok-Westkaai;2;;;;;
ANTWERPEN-WEST - FH01;108069;1693414;(L/B/S)U template;Verbindingsdok-Westkaai;2;;;;;
ANTWERPEN-WEST - FH01;108069;11077736;(L/B/S)U template;Verbindingsdok-Westkaai;2;;;;;
ANTWERPEN-WEST - FH01;108073;1628005;(L/B/S)U template;Bataviastraat;11;;;;;
ANTWERPEN-WEST - FH01;108073;11077824;(L/B/S)U template;Bataviastraat;11;;;;;
ANTWERPEN-WEST - FH01;108073;11077825;(L/B/S)U template;Bataviastraat;11;;;;;
ANTWERPEN-WEST - FH01;108073;11077826;(L/B/S)U template;Bataviastraat;11;;;;;
ANTWERPEN-WEST - FH01;108073;11077827;(L/B/S)U template;Bataviastraat;11;;;;;
ANTWERPEN-WEST - FH01;108073;11077828;(L/B/S)U template;Bataviastraat;11;;;;;
ANTWERPEN-WEST - FH01;108073;11077829;(L/B/S)U template;Bataviastraat;11;;;;;
ANTWERPEN-WEST - FH01;108073;11077830;(L/B/S)U template;Bataviastraat;11;;;;;
ANTWERPEN-WEST - FH01;108073;11077831;(L/B/S)U template;Bataviastraat;11;;;;;
ANTWERPEN-WEST - FH01;108073;11077832;(L/B/S)U template;Bataviastraat;11;;;;;
ANTWERPEN-WEST - FH01;108073;11077833;(L/B/S)U template;Bataviastraat;11;;;;;
ANTWERPEN-WEST - FH01;108073;11077834;(L/B/S)U template;Bataviastraat;11;;;;;
ANTWERPEN-WEST - FH01;108073;11077835;(L/B/S)U template;Bataviastraat;11;;;;;
ANTWERPEN-WEST - FH01;108073;11077836;(L/B/S)U template;Bataviastraat;11;;;;;
ANTWERPEN-WEST - FH01;108073;11077837;(L/B/S)U template;Bataviastraat;11;;;;;
ANTWERPEN-WEST - FH01;108073;11077838;(L/B/S)U template;Bataviastraat;11;;;;;
ANTWERPEN-WEST - FH01;108073;11077839;(L/B/S)U template;Bataviastraat;11;;;;;
ANTWERPEN-WEST - FH01;108073;11077840;(L/B/S)U template;Bataviastraat;11;;;;;
ANTWERPEN-WEST - FH01;108073;11077841;(L/B/S)U template;Bataviastraat;11;;;;;
ANTWERPEN-WEST - FH01;108073;11077842;(L/B/S)U template;Bataviastraat;11;;;;;
ANTWERPEN-WEST - FH01;108073;11077843;(L/B/S)U template;Bataviastraat;11;;;;;
ANTWERPEN-WEST - FH01;108073;11077844;(L/B/S)U template;Bataviastraat;11;;;;;
ANTWERPEN-WEST - FH01;108073;11077845;(L/B/S)U template;Bataviastraat;11;;;;;
ANTWERPEN-WEST - FH01;108073;11077846;(L/B/S)U template;Bataviastraat;11;;;;;
ANTWERPEN-WEST - FH01;108073;11195437;(L/B/S)U template;Bataviastraat;11;;;;;
ANTWERPEN-WEST - FH01;108073;11077847;(L/B/S)U template;Bataviastraat;11;;;;;
ANTWERPEN-WEST - FH01;108073;11077848;(L/B/S)U template;Bataviastraat;11;;;;;
ANTWERPEN-WEST - FH01;108073;11077849;(L/B/S)U template;Bataviastraat;11;;;;;
ANTWERPEN-WEST - FH01;108073;11077850;(L/B/S)U template;Bataviastraat;11;;;;;
ANTWERPEN-WEST - FH01;108073;11077851;(L/B/S)U template;Bataviastraat;11;;;;;
ANTWERPEN-WEST - FH01;108073;11077852;(L/B/S)U template;Bataviastraat;11;;;;;
ANTWERPEN-WEST - FH01;108073;11077853;(L/B/S)U template;Bataviastraat;11;;;;;
ANTWERPEN-WEST - FH01;108073;11077854;(L/B/S)U template;Bataviastraat;11;;;;;
ANTWERPEN-WEST - FH01;108073;11077855;(L/B/S)U template;Bataviastraat;11;;;;;
ANTWERPEN-WEST - FH01;108074;11195438;(L/B/S)U template;Bataviastraat;7;;;;;
ANTWERPEN-WEST - FH01;108074;1838704;(L/B/S)U template;Bataviastraat;7;;;;;
ANTWERPEN-WEST - FH01;108074;11077799;(L/B/S)U template;Bataviastraat;7;;;;;
ANTWERPEN-WEST - FH01;108074;11077800;(L/B/S)U template;Bataviastraat;7;;;;;
ANTWERPEN-WEST - FH01;108074;11077802;(L/B/S)U template;Bataviastraat;7;;;;;
ANTWERPEN-WEST - FH01;108074;11077803;(L/B/S)U template;Bataviastraat;7;;;;;
ANTWERPEN-WEST - FH01;108074;11077804;(L/B/S)U template;Bataviastraat;7;;;;;
ANTWERPEN-WEST - FH01;108074;11077805;(L/B/S)U template;Bataviastraat;7;;;;;
ANTWERPEN-WEST - FH01;108074;11077806;(L/B/S)U template;Bataviastraat;7;;;;;
ANTWERPEN-WEST - FH01;108074;11077807;(L/B/S)U template;Bataviastraat;7;;;;;
ANTWERPEN-WEST - FH01;108074;11077808;(L/B/S)U template;Bataviastraat;7;;;;;
ANTWERPEN-WEST - FH01;108074;11077809;(L/B/S)U template;Bataviastraat;7;;;;;
ANTWERPEN-WEST - FH01;108074;11077810;(L/B/S)U template;Bataviastraat;7;;;;;
